# distance [Angstrom]   occurrence (total=401)
0.600000                            0
0.651786                            0
0.703571                            0
0.755357                            0
0.807143                            0
0.858929                            0
0.910714                            0
0.962500                            0
1.014286                            0
1.066071                            0
1.117857                            0
1.169643                            0
1.221429                            0
1.273214                            0
1.325000                            0
1.376786                            0
1.428571                            0
1.480357                            0
1.532143                            3
1.583929                          104
1.635714                           22
1.687500                           14
1.739286                           31
1.791071                           10
1.842857                            9
1.894643                            4
1.946429                            6
1.998214                            2
2.050000                           25
2.101786                           20
2.153571                           25
2.205357                           19
2.257143                           11
2.308929                            6
2.360714                            5
2.412500                            4
2.464286                            8
2.516071                            5
2.567857                            1
2.619643                            3
2.671429                            1
2.723214                            6
2.775000                            4
2.826786                            1
2.878571                            2
2.930357                            2
2.982143                            4
3.033929                            0
3.085714                            0
3.137500                            5
3.189286                            0
3.241071                            3
3.292857                            0
3.344643                            7
3.396429                            2
3.448214                            4
3.500000                           23
