# Angle [degrees]   occurrence (total=4)
0.000000                            0
0.100056                            0
0.200111                            0
0.300167                            0
0.400222                            0
0.500278                            0
0.600334                            0
0.700389                            0
0.800445                            0
0.900500                            0
1.000556                            0
1.100611                            0
1.200667                            0
1.300723                            0
1.400778                            0
1.500834                            0
1.600889                            0
1.700945                            0
1.801001                            0
1.901056                            0
2.001112                            0
2.101167                            0
2.201223                            0
2.301278                            0
2.401334                            0
2.501390                            0
2.601445                            0
2.701501                            0
2.801556                            0
2.901612                            0
3.001668                            0
3.101723                            0
3.201779                            0
3.301834                            0
3.401890                            0
3.501946                            0
3.602001                            0
3.702057                            0
3.802112                            0
3.902168                            0
4.002223                            0
4.102279                            0
4.202335                            0
4.302390                            0
4.402446                            0
4.502501                            0
4.602557                            0
4.702613                            0
4.802668                            0
4.902724                            0
5.002779                            0
5.102835                            0
5.202890                            0
5.302946                            0
5.403002                            0
5.503057                            0
5.603113                            0
5.703168                            0
5.803224                            0
5.903280                            0
6.003335                            0
6.103391                            0
6.203446                            0
6.303502                            0
6.403558                            0
6.503613                            0
6.603669                            0
6.703724                            0
6.803780                            0
6.903835                            0
7.003891                            0
7.103947                            0
7.204002                            0
7.304058                            0
7.404113                            0
7.504169                            0
7.604225                            0
7.704280                            0
7.804336                            0
7.904391                            0
8.004447                            0
8.104503                            0
8.204558                            0
8.304614                            0
8.404669                            0
8.504725                            0
8.604780                            0
8.704836                            0
8.804892                            0
8.904947                            0
9.005003                            0
9.105058                            0
9.205114                            0
9.305170                            0
9.405225                            0
9.505281                            0
9.605336                            0
9.705392                            0
9.805447                            0
9.905503                            0
10.005559                            0
10.105614                            0
10.205670                            0
10.305725                            0
10.405781                            0
10.505837                            0
10.605892                            0
10.705948                            0
10.806003                            0
10.906059                            0
11.006115                            0
11.106170                            0
11.206226                            0
11.306281                            0
11.406337                            0
11.506392                            0
11.606448                            0
11.706504                            0
11.806559                            0
11.906615                            0
12.006670                            0
12.106726                            0
12.206782                            0
12.306837                            0
12.406893                            0
12.506948                            0
12.607004                            0
12.707059                            0
12.807115                            0
12.907171                            0
13.007226                            0
13.107282                            0
13.207337                            0
13.307393                            0
13.407449                            0
13.507504                            0
13.607560                            0
13.707615                            0
13.807671                            0
13.907727                            0
14.007782                            0
14.107838                            0
14.207893                            0
14.307949                            0
14.408004                            0
14.508060                            0
14.608116                            0
14.708171                            0
14.808227                            0
14.908282                            0
15.008338                            0
15.108394                            0
15.208449                            0
15.308505                            0
15.408560                            0
15.508616                            0
15.608671                            0
15.708727                            0
15.808783                            0
15.908838                            0
16.008894                            0
16.108949                            0
16.209005                            0
16.309061                            0
16.409116                            0
16.509172                            0
16.609227                            0
16.709283                            0
16.809339                            0
16.909394                            0
17.009450                            0
17.109505                            0
17.209561                            0
17.309616                            0
17.409672                            0
17.509728                            0
17.609783                            0
17.709839                            0
17.809894                            0
17.909950                            0
18.010006                            0
18.110061                            0
18.210117                            0
18.310172                            0
18.410228                            0
18.510283                            0
18.610339                            0
18.710395                            0
18.810450                            0
18.910506                            0
19.010561                            0
19.110617                            0
19.210673                            0
19.310728                            0
19.410784                            0
19.510839                            0
19.610895                            0
19.710951                            0
19.811006                            0
19.911062                            0
20.011117                            0
20.111173                            0
20.211228                            0
20.311284                            0
20.411340                            0
20.511395                            0
20.611451                            0
20.711506                            0
20.811562                            0
20.911618                            0
21.011673                            0
21.111729                            0
21.211784                            0
21.311840                            0
21.411895                            0
21.511951                            0
21.612007                            0
21.712062                            0
21.812118                            0
21.912173                            0
22.012229                            0
22.112285                            0
22.212340                            0
22.312396                            0
22.412451                            0
22.512507                            0
22.612563                            0
22.712618                            0
22.812674                            0
22.912729                            0
23.012785                            0
23.112840                            0
23.212896                            0
23.312952                            0
23.413007                            0
23.513063                            0
23.613118                            0
23.713174                            0
23.813230                            0
23.913285                            0
24.013341                            0
24.113396                            0
24.213452                            0
24.313508                            0
24.413563                            0
24.513619                            0
24.613674                            0
24.713730                            0
24.813785                            0
24.913841                            0
25.013897                            0
25.113952                            0
25.214008                            0
25.314063                            0
25.414119                            0
25.514175                            0
25.614230                            0
25.714286                            0
25.814341                            0
25.914397                            0
26.014452                            0
26.114508                            0
26.214564                            0
26.314619                            0
26.414675                            0
26.514730                            0
26.614786                            0
26.714842                            0
26.814897                            0
26.914953                            0
27.015008                            0
27.115064                            0
27.215120                            0
27.315175                            0
27.415231                            0
27.515286                            0
27.615342                            0
27.715397                            0
27.815453                            0
27.915509                            0
28.015564                            0
28.115620                            0
28.215675                            0
28.315731                            0
28.415787                            0
28.515842                            0
28.615898                            0
28.715953                            0
28.816009                            0
28.916064                            0
29.016120                            0
29.116176                            0
29.216231                            0
29.316287                            0
29.416342                            0
29.516398                            0
29.616454                            0
29.716509                            0
29.816565                            0
29.916620                            0
30.016676                            0
30.116732                            0
30.216787                            0
30.316843                            0
30.416898                            0
30.516954                            0
30.617009                            0
30.717065                            0
30.817121                            0
30.917176                            0
31.017232                            0
31.117287                            0
31.217343                            0
31.317399                            0
31.417454                            0
31.517510                            0
31.617565                            0
31.717621                            0
31.817676                            0
31.917732                            0
32.017788                            0
32.117843                            0
32.217899                            0
32.317954                            0
32.418010                            0
32.518066                            0
32.618121                            0
32.718177                            0
32.818232                            0
32.918288                            0
33.018344                            0
33.118399                            0
33.218455                            0
33.318510                            0
33.418566                            0
