# q1 [Angstrom]    q2 [Angstrom]
  -0.4107449087    2.7900463260
   0.4107486827    2.7900543970
   0.2529334599    2.5425280117
  -0.2801673596    2.5764928551
  -0.2801583503    2.5764815319
   0.4234789260    2.8096904625
   0.4233994097    2.8095467340
  -0.2773706667    2.5714364635
  -0.2666519092    2.5583331291
   0.2666521271    2.5583337570
  -0.2667333801    2.5579940852
   0.2668012962    2.5580872562
  -0.3058632336    2.6096714675
  -0.3058587508    2.6096640549
  -0.3461529931    2.6842212960
  -0.3461924698    2.6842898162
   0.3044596634    2.6106376584
  -0.2467566367    2.5368730605
  -0.2467081536    2.5368070026
  -0.4731227403    2.8931508158
   0.4731710167    2.8932336705
  -0.4306773018    2.8194771132
  -0.4306508642    2.8194309563
   0.4284991092    2.8172867162
   0.4274179518    2.8152469828
  -0.2862603990    2.5825197995
   0.4065442779    2.7788035664
   0.4904338660    2.9275399284
  -0.4065610983    2.7788345643
  -0.4903986281    2.9274734709
   0.2892823974    2.5863261007
  -0.2892773752    2.5863194042
   0.5187448109    2.9810551773
   0.3905332152    2.7509307090
  -0.3013471495    2.6006385187
  -0.3165237165    2.6270838432
   0.3605412848    2.7043316333
   0.3605423562    2.7043410388
  -0.3241805352    2.6379808770
   0.3138579465    2.6328092644
   0.4486830351    2.8553939413
  -0.2945235832    2.5911066472
  -0.4133826556    2.7874083921
   0.2288006390    2.5164878282
  -0.3571803697    2.6871056030
   0.4133821700    2.7874078652
  -0.2288346942    2.5165243394
  -0.4338446139    2.8216564543
  -0.4392226993    2.8320482946
  -0.3073284311    2.6102392917
  -0.4349157088    2.8256074058
   0.4352472584    2.8263345535
   0.3215675461    2.6286185978
  -0.5087788560    2.9594212074
   0.4044469169    2.7720542816
   0.3069175572    2.6094109075
  -0.3058852992    2.6082973092
   0.3097839825    2.6118210110
  -0.2962859048    2.5953954640
  -0.5166831470    2.9757449786
  -0.3986845106    2.7636058487
  -0.3234441279    2.6367099595
   0.3682750499    2.7153183255
   0.3682823128    2.7153237094
   0.2932157046    2.5912791144
   0.3156049963    2.6197151102
   0.3344741594    2.6527397507
   0.4489733053    2.8532988530
   0.3342419694    2.6611590913
