# distance [Angstrom]   occurrence (total=566)
0.600000                            0
0.651786                            0
0.703571                            0
0.755357                            0
0.807143                            0
0.858929                            0
0.910714                            0
0.962500                          107
1.014286                          124
1.066071                           20
1.117857                           15
1.169643                            9
1.221429                            6
1.273214                            2
1.325000                            8
1.376786                           11
1.428571                            9
1.480357                           11
1.532143                            1
1.583929                            3
1.635714                            4
1.687500                            3
1.739286                            0
1.791071                            2
1.842857                            1
1.894643                            1
1.946429                            2
1.998214                            0
2.050000                            1
2.101786                            0
2.153571                            1
2.205357                            0
2.257143                            0
2.308929                            0
2.360714                            0
2.412500                            0
2.464286                            1
2.516071                            0
2.567857                            0
2.619643                            0
2.671429                            1
2.723214                            0
2.775000                            1
2.826786                            6
2.878571                            2
2.930357                            2
2.982143                            7
3.033929                           16
3.085714                           45
3.137500                           42
3.189286                           28
3.241071                           27
3.292857                           10
3.344643                           14
3.396429                           11
3.448214                            4
3.500000                            8
