# Angle [degrees]   occurrence (total=109)
0.000000                            0
5.135135                            0
10.270270                            0
15.405405                            0
20.540541                            0
25.675676                            0
30.810811                            0
35.945946                            0
41.081081                            0
46.216216                            0
51.351351                            0
56.486486                            0
61.621622                            0
66.756757                            0
71.891892                            0
77.027027                            0
82.162162                           17
87.297297                            9
92.432432                            6
97.567568                            6
102.702703                           18
107.837838                            5
112.972973                            1
118.108108                            3
123.243243                            1
128.378378                            1
133.513514                            1
138.648649                            4
143.783784                            2
148.918919                            0
154.054054                            0
159.189189                            3
164.324324                            1
169.459459                            0
174.594595                            5
179.729730                           22
184.864865                            4
190.000000                            0
