# distance [Angstrom]   occurrence (total=283)
0.600000                            0
0.651786                            0
0.703571                            0
0.755357                            0
0.807143                            0
0.858929                            0
0.910714                            0
0.962500                            0
1.014286                            0
1.066071                            0
1.117857                            0
1.169643                            0
1.221429                            0
1.273214                            0
1.325000                            0
1.376786                            0
1.428571                            0
1.480357                            0
1.532143                            0
1.583929                           65
1.635714                           25
1.687500                            5
1.739286                           12
1.791071                           16
1.842857                            8
1.894643                           11
1.946429                            5
1.998214                           14
2.050000                           20
2.101786                            9
2.153571                           16
2.205357                            5
2.257143                            2
2.308929                            8
2.360714                            3
2.412500                            7
2.464286                            6
2.516071                            4
2.567857                            0
2.619643                            3
2.671429                            2
2.723214                            2
2.775000                            1
2.826786                            0
2.878571                            0
2.930357                            0
2.982143                            0
3.033929                            0
3.085714                            0
3.137500                            1
3.189286                            1
3.241071                            0
3.292857                            0
3.344643                            4
3.396429                            7
3.448214                            6
3.500000                           15
