# distance [Angstrom]   occurrence (total=398)
0.600000                            0
0.651786                            0
0.703571                            0
0.755357                            0
0.807143                            0
0.858929                            0
0.910714                            0
0.962500                            0
1.014286                            0
1.066071                            0
1.117857                            0
1.169643                            0
1.221429                            0
1.273214                            0
1.325000                            0
1.376786                            0
1.428571                            0
1.480357                            0
1.532143                            0
1.583929                          103
1.635714                           28
1.687500                           16
1.739286                           25
1.791071                            7
1.842857                           11
1.894643                            5
1.946429                            4
1.998214                            0
2.050000                           10
2.101786                           20
2.153571                           25
2.205357                           32
2.257143                           10
2.308929                            7
2.360714                           10
2.412500                           10
2.464286                           10
2.516071                            6
2.567857                            6
2.619643                            3
2.671429                            7
2.723214                            2
2.775000                            0
2.826786                            2
2.878571                            0
2.930357                            0
2.982143                            0
3.033929                            0
3.085714                            0
3.137500                            4
3.189286                            1
3.241071                            2
3.292857                            2
3.344643                            5
3.396429                            9
3.448214                            4
3.500000                           12
