# distance [Angstrom]   occurrence (total=465)
0.600000                            0
0.651786                            0
0.703571                            0
0.755357                            0
0.807143                            0
0.858929                            0
0.910714                            0
0.962500                            0
1.014286                            0
1.066071                            0
1.117857                            0
1.169643                            0
1.221429                            0
1.273214                            0
1.325000                            0
1.376786                            0
1.428571                            0
1.480357                            0
1.532143                            0
1.583929                          120
1.635714                           32
1.687500                           17
1.739286                           36
1.791071                           11
1.842857                           13
1.894643                            7
1.946429                            1
1.998214                            3
2.050000                            6
2.101786                           38
2.153571                           28
2.205357                           36
2.257143                           20
2.308929                            5
2.360714                           11
2.412500                           15
2.464286                           14
2.516071                            3
2.567857                            6
2.619643                            8
2.671429                            0
2.723214                            2
2.775000                            0
2.826786                            2
2.878571                            0
2.930357                            0
2.982143                            0
3.033929                            0
3.085714                            0
3.137500                            0
3.189286                            0
3.241071                            2
3.292857                            1
3.344643                            0
3.396429                           12
3.448214                            5
3.500000                           11
