# q1 [Angstrom]    q2 [Angstrom]
  -0.1934750312    2.4962794410
  -0.2050439547    2.4990491257
  -0.1788196558    2.4830514181
   0.0000000000    1.9355892842
  -0.1608742378    2.4533171983
  -0.1595962175    2.4523741682
   0.0000000000    1.9308846471
   0.0000000000    1.9308826887
  -0.3922674502    2.7181669622
  -0.3809651375    2.7377696969
  -0.0484770223    2.4023468481
  -0.0021431330    2.3975396369
   0.0000000000    1.9322789432
  -0.0025733830    2.3975600172
  -0.1204990162    2.4288106485
  -0.1399562274    2.4371052289
  -0.2972865686    2.6078080317
  -0.1405989444    2.4376145596
  -0.1205990302    2.4288579031
  -0.2975568164    2.6083348254
   0.0000000000    1.9303770624
  -0.0712018610    2.4059369292
  -0.1999036655    2.4839410600
  -0.1998404222    2.4838767379
   0.0000000000    1.9287900045
   0.0000000000    1.9290245426
  -0.1358901227    2.4339641622
  -0.1246861378    2.4278216708
   0.0000000000    1.9315335652
   0.0000000000    1.9315373205
  -0.1445774559    2.4435392837
   0.0000000000    1.9310510702
   0.0000000000    1.9312127654
  -0.1445841371    2.4435441360
   0.0000000000    1.9312122742
   0.0000000000    1.9310502653
  -0.1410080770    2.4408551510
   0.0000000000    1.9289585231
   0.0000000000    1.9299007542
  -0.3154751851    2.6279250344
  -0.2668022275    2.5661925933
  -0.1870926073    2.4736178286
  -0.3375922234    2.6667420764
  -0.1848735762    2.4693163096
  -0.4966374407    2.9391451339
   0.0000000000    1.9338328207
   0.0000000000    1.9335506058
  -0.3864435788    2.7450901338
  -0.4007070555    2.7688848631
  -0.1764057221    2.4656976362
  -0.1762910734    2.4656243857
  -0.2145456035    2.5043004866
   0.0000000000    1.9268338113
  -0.2144331175    2.5041804482
   0.0000000000    1.9268332067
  -0.2711434813    2.5700638014
  -0.2357531662    2.5191608601
  -0.2359105375    2.5193302313
  -0.1360479231    2.4337536827
  -0.1921038457    2.4778784551
  -0.2033718149    2.4896264189
  -0.1762387223    2.4626176672
   0.0000000000    1.9287556166
   0.0000000000    1.9290956032
  -0.4498617522    2.8485509770
   0.0000000000    1.9299904500
  -0.2291124298    2.5137520881
  -0.2290093398    2.5135850150
  -0.1591990582    2.4498454439
  -0.3582004250    2.6948135374
  -0.2140223079    2.4961398769
  -0.2139556971    2.4960683186
  -0.2140407631    2.4961548044
  -0.2139654675    2.4960831449
   0.0000000000    1.9281224270
   0.0000000000    1.9281284362
  -0.1629468643    2.4522077594
  -0.3237593727    2.6368219563
  -0.2045195741    2.4936984485
  -0.1809135048    2.4696656019
   0.0000000000    1.9273438661
   0.0000000000    1.9282393130
  -0.1627855246    2.4520872633
  -0.1809284050    2.4696818100
   0.0000000000    1.9273355681
   0.0000000000    1.9282335352
  -0.3237475116    2.6368022836
  -0.2043625029    2.4935458550
  -0.1652505521    2.4578884852
   0.0000000000    1.9281398918
   0.0000000000    1.9287287258
  -0.2307317453    2.5232213900
   0.0000000000    1.9276937128
  -0.1990943766    2.4859580063
  -0.1611277980    2.4543209326
  -0.2756174622    2.5760442343
  -0.2360003119    2.5281651080
  -0.1712186787    2.4622081414
   0.0000000000    1.9298045774
   0.0000000000    1.9296602240
  -0.2350816015    2.5201593493
  -0.2341219982    2.5200382137
  -0.5091857180    2.9594910273
   0.0000000000    1.9325406587
   0.0000000000    1.9321608388
  -0.1611529311    2.4521054682
  -0.2165583950    2.4982233450
  -0.3315235636    2.6549878161
  -0.1700931232    2.4590142938
  -0.3378001790    2.6634717217
  -0.2147073598    2.4957336557
  -0.4943671347    2.9318206523
   0.0000000000    1.9325377249
   0.0000000000    1.9322403984
  -0.2081708880    2.4934258309
  -0.2035784722    2.4890672000
  -0.2081732997    2.4926321420
  -0.5000246067    2.9436269271
  -0.3165131717    2.6342599258
  -0.2561398003    2.5437730784
  -0.2575485308    2.5455735195
   0.0000000000    1.9272845196
   0.0000000000    1.9279999765
  -0.2576667845    2.5457465539
  -0.2561646636    2.5438280380
  -0.2377399356    2.5220837707
  -0.3793682133    2.7317810783
   0.0000000000    1.9322803452
   0.0000000000    1.9327718550
  -0.4656058633    2.8806175630
  -0.3996543406    2.7637777737
   0.0000000000    1.9325293969
   0.0000000000    1.9329071946
  -0.4126554516    2.7873908098
  -0.3984645614    2.7618109511
   0.0000000000    1.9325932728
   0.0000000000    1.9329708784
  -0.4130282848    2.7880527413
  -0.2033471209    2.4844146778
  -0.4863758622    2.9136398472
  -0.3712364961    2.7195541900
   0.0000000000    1.9329642610
   0.0000000000    1.9325382533
  -0.3712024208    2.7195005888
  -0.4863934887    2.9136784942
  -0.2033703227    2.4844405982
  -0.4553189540    2.8621911864
  -0.1674666445    2.4580559067
  -0.4555160503    2.8625438225
  -0.1675490357    2.4581053928
