# q1 [Angstrom]    q2 [Angstrom]
  -0.3257556861    2.6204951047
  -0.3329791191    2.6170508873
  -0.3326708987    2.6165361622
  -0.2338276767    2.4926492028
  -0.2456623658    2.5248302284
   0.0000000000    1.8927216384
  -0.3273612657    2.6115260808
  -0.3035741537    2.5782642549
  -0.4339471861    2.7879128052
  -0.3246312178    2.6051689296
  -0.2954419958    2.5674003489
  -0.2952627417    2.5671240251
  -0.2915856231    2.5607982249
  -0.4065623479    2.7459032877
  -0.2368833844    2.4981693085
   0.0000000000    1.8891520721
   0.0000000000    1.8898556092
  -0.3141549404    2.6042031005
  -0.3149695966    2.5913668011
  -0.2826080563    2.5596087982
  -0.2519944358    2.5147864589
   0.0000000000    1.8886239266
   0.0000000000    1.8892526575
  -0.3714295323    2.6333603454
  -0.3893060793    2.7231930720
  -0.2042966248    2.4657424098
  -0.2247013005    2.4853691729
  -0.2835315971    2.5508365025
  -0.3426036499    2.6470111446
  -0.2945224926    2.5653399073
  -0.3239706297    2.6041944317
  -0.4290324160    2.7794223619
  -0.3589800225    2.6567416655
  -0.3616448268    2.6609053077
   0.0000000000    1.8880536700
   0.0000000000    1.8881770523
  -0.2657595019    2.5305279986
  -0.2657418528    2.5305086718
  -0.2524981952    2.5207585567
   0.0000000000    1.8862073043
  -0.2524536913    2.5207039299
   0.0000000000    1.8862070780
  -0.4933190632    2.8978697641
  -0.4923938878    2.8961449944
  -0.3331813740    2.6194647800
  -0.3330062453    2.6191911895
  -0.3373200406    2.6258120048
  -0.4988727523    2.9065393956
  -0.4902216360    2.8904986280
  -0.2550515981    2.5185097003
   0.0000000000    1.8886480425
   0.0000000000    1.8892174464
  -0.2755568775    2.5506557249
   0.0000000000    1.8869469625
  -0.3217000125    2.6041545491
  -0.2512491881    2.5130446229
  -0.2987669140    2.5706852866
  -0.2989456591    2.5709474478
   0.0000000000    1.8897188969
   0.0000000000    1.8897693253
  -0.2330363373    2.4938874851
   0.0000000000    1.8919268307
   0.0000000000    1.8919027609
  -0.2330280997    2.4938590615
  -0.2837238716    2.5517170883
  -0.2837465606    2.5517376645
   0.0000000000    1.8899362332
   0.0000000000    1.8899354655
  -0.4579742268    2.8324343386
  -0.3147247213    2.5918353536
  -0.5109357535    2.9288001785
  -0.5110615578    2.9290041276
   0.0000000000    1.8916764697
   0.0000000000    1.8916724564
  -0.3037859080    2.5785960697
   0.0000000000    1.8900506172
   0.0000000000    1.8900485270
  -0.3239210051    2.6040962611
  -0.4343538825    2.7886751407
  -0.3329504873    2.6190922651
   0.0000000000    1.8882245427
   0.0000000000    1.8883334315
  -0.3332693681    2.6195896306
   0.0000000000    1.8883298555
   0.0000000000    1.8882568450
  -0.3331751822    2.6194657096
  -0.3330395134    2.6192614171
  -0.2838015029    2.5512046171
  -0.2247405265    2.4854204095
  -0.3429733829    2.6476526744
   0.0000000000    1.8890603169
  -0.2837305246    2.5520959579
  -0.2827663951    2.5507979218
   0.0000000000    1.8905773895
   0.0000000000    1.8905778983
  -0.3525827915    2.6467730672
  -0.5197433041    2.9440083589
   0.0000000000    1.8916677994
   0.0000000000    1.8916100809
  -0.5117360213    2.9305820624
  -0.4920333359    2.8924711587
   0.0000000000    1.8915533649
   0.0000000000    1.8915094405
  -0.5058841174    2.9186928440
  -0.2455259255    2.5246318887
   0.0000000000    1.8926847145
  -0.4251030834    2.7756898318
   0.0000000000    1.8935745425
   0.0000000000    1.8935729328
  -0.2888478559    2.5585222164
   0.0000000000    1.8901157173
   0.0000000000    1.8901107693
  -0.3100268982    2.5851896835
  -0.3100576901    2.5852345334
  -0.3100150147    2.5851742364
  -0.3100814933    2.5852794077
   0.0000000000    1.8891347832
   0.0000000000    1.8891324663
  -0.2544564560    2.5175559780
  -0.3805378081    2.6972043135
  -0.2755097028    2.5503289124
