# distance [Angstrom]   occurrence (total=155)
0.600000                            0
0.651786                            0
0.703571                            0
0.755357                            0
0.807143                            0
0.858929                            0
0.910714                            0
0.962500                            0
1.014286                            0
1.066071                            0
1.117857                            0
1.169643                            0
1.221429                            0
1.273214                            0
1.325000                            0
1.376786                            0
1.428571                            0
1.480357                            0
1.532143                            0
1.583929                           46
1.635714                           13
1.687500                            3
1.739286                           12
1.791071                            2
1.842857                            8
1.894643                            4
1.946429                            4
1.998214                            0
2.050000                            8
2.101786                           15
2.153571                            8
2.205357                            2
2.257143                            3
2.308929                            1
2.360714                            2
2.412500                            4
2.464286                            2
2.516071                            0
2.567857                            0
2.619643                            1
2.671429                            2
2.723214                            0
2.775000                            0
2.826786                            0
2.878571                            0
2.930357                            1
2.982143                            1
3.033929                            0
3.085714                            0
3.137500                            0
3.189286                            0
3.241071                            0
3.292857                            0
3.344643                            0
3.396429                            0
3.448214                            2
3.500000                           11
