# distance [\AA]   occurrence (total=821)
0.600000                            0
0.651786                            0
0.703571                            0
0.755357                            0
0.807143                            0
0.858929                            0
0.910714                            0
0.962500                          308
1.014286                           34
1.066071                           44
1.117857                            6
1.169643                            4
1.221429                            2
1.273214                            2
1.325000                            0
1.376786                            9
1.428571                           15
1.480357                           22
1.532143                           10
1.583929                            3
1.635714                            4
1.687500                            4
1.739286                            1
1.791071                            5
1.842857                            5
1.894643                            0
1.946429                            1
1.998214                            3
2.050000                            3
2.101786                            1
2.153571                            0
2.205357                            0
2.257143                            0
2.308929                            0
2.360714                            1
2.412500                            0
2.464286                            0
2.516071                            0
2.567857                            0
2.619643                            0
2.671429                            0
2.723214                            1
2.775000                            1
2.826786                            1
2.878571                            5
2.930357                           12
2.982143                            4
3.033929                           25
3.085714                           37
3.137500                           49
3.189286                           71
3.241071                           34
3.292857                           18
3.344643                           18
3.396429                           32
3.448214                           19
3.500000                            7
