# q1 [Angstrom]    q2 [Angstrom]
  -0.2384411171    2.5398788035
  -0.1922832474    2.4905674281
  -0.1961924368    2.4927940714
   0.0000000000    1.9417393675
  -0.1543195032    2.4459006015
  -0.1517391464    2.4440417354
   0.0000000000    1.9302674041
   0.0000000000    1.9310971434
  -0.3762181691    2.6950480903
  -0.4010906448    2.7691835377
  -0.0299637322    2.3935849108
  -0.0268559718    2.3933405209
   0.0000000000    1.9356216808
  -0.0267419037    2.3932832453
  -0.1215181287    2.4239369285
  -0.1542938437    2.4434882762
  -0.3019445660    2.6103999685
  -0.1548986318    2.4440999697
  -0.1206820556    2.4235073862
  -0.3023111577    2.6109938424
   0.0000000000    1.9381538865
  -0.0522419540    2.3947208994
  -0.2011502653    2.4836399281
  -0.2011338030    2.4836228635
   0.0000000000    1.9281371991
   0.0000000000    1.9290108146
  -0.1390410793    2.4328898036
  -0.1388942899    2.4328148659
   0.0000000000    1.9307476769
   0.0000000000    1.9301381370
  -0.1508887494    2.4445083221
   0.0000000000    1.9303232388
   0.0000000000    1.9306277578
  -0.1509176632    2.4445282616
   0.0000000000    1.9306255984
   0.0000000000    1.9303225232
  -0.1260063557    2.4265756176
   0.0000000000    1.9287838004
   0.0000000000    1.9296745963
  -0.2926044660    2.5970953681
  -0.1886982062    2.4717497095
  -0.3286121118    2.6534105796
  -0.1888149065    2.4710767598
  -0.3742760696    2.7235471036
  -0.4185897047    2.7976723950
  -0.1821369394    2.4656191753
  -0.1821198090    2.4656051548
  -0.2117230177    2.4958951686
   0.0000000000    1.9333747382
  -0.2117093022    2.4958793881
   0.0000000000    1.9333738122
  -0.2776835159    2.5757472121
  -0.2396737243    2.5226554056
  -0.2395647781    2.5224648460
  -0.1406092889    2.4329913529
  -0.1916086180    2.4726408519
  -0.2123837039    2.4934529919
  -0.1923044143    2.4737061942
   0.0000000000    1.9276529755
   0.0000000000    1.9282970029
  -0.4673933629    2.8790759816
   0.0000000000    1.9395709949
  -0.2299435761    2.5098569078
  -0.2294913082    2.5093078561
  -0.1732079959    2.4577490304
  -0.3584861920    2.6921816062
  -0.2150817138    2.4960890128
  -0.2141532122    2.4951266759
  -0.2150466842    2.4960562604
  -0.2141844083    2.4951715000
   0.0000000000    1.9273945180
   0.0000000000    1.9283226311
  -0.1784002110    2.4612984977
  -0.3399414831    2.6670243238
  -0.2219598732    2.5058237241
  -0.1752528882    2.4600392402
   0.0000000000    1.9267867383
   0.0000000000    1.9278246485
  -0.1676135655    2.4546988754
   0.0000000000    1.9273340714
   0.0000000000    1.9280544004
  -0.2335383243    2.5215731292
   0.0000000000    1.9352460330
  -0.2097844880    2.4936383329
  -0.1631223058    2.4507940902
  -0.2876212157    2.5895986052
  -0.2389997629    2.5269364408
  -0.1787191293    2.4652846503
   0.0000000000    1.9292656341
   0.0000000000    1.9290313327
  -0.2359303739    2.5204224751
  -0.2329510284    2.5174277830
  -0.1706218249    2.4569259881
  -0.2208490904    2.5010939430
  -0.3262189420    2.6469542945
  -0.1817295640    2.4660710632
  -0.3326220122    2.6563173859
  -0.2181134977    2.4981073476
  -0.5116790332    2.9644512696
   0.0000000000    1.9324324326
   0.0000000000    1.9317602046
  -0.2130413068    2.4954935494
  -0.2131785706    2.4956706886
  -0.2207343406    2.5028960063
  -0.3916757818    2.7509628923
  -0.4109775281    2.7815560568
  -0.2547969583    2.5413525452
  -0.2552004552    2.5417819200
   0.0000000000    1.9269586018
   0.0000000000    1.9278950758
  -0.2405726654    2.5233550939
  -0.3775119500    2.7289835831
   0.0000000000    1.9319368417
   0.0000000000    1.9325006546
  -0.4758944862    2.8993227552
  -0.4018500680    2.7668760068
   0.0000000000    1.9321857914
   0.0000000000    1.9324462435
  -0.4159037749    2.7922987387
  -0.2106224052    2.4894898397
  -0.4986298697    2.9362689666
  -0.3724861121    2.7200314489
   0.0000000000    1.9323647505
   0.0000000000    1.9318286797
  -0.3725758394    2.7202005596
  -0.4995076626    2.9379134150
  -0.2104659002    2.4892609569
