# q1 [Angstrom]    q2 [Angstrom]
  -0.0317515085    2.3963383676
  -0.1951615092    2.4839677861
  -0.0855609945    2.4153461106
   0.0000000000    1.9307251979
  -0.1847772987    2.4695483564
  -0.1867090182    2.4712605065
   0.0000000000    1.9264011297
   0.0000000000    1.9268602396
  -0.3696061334    2.6690213083
  -0.3267153759    2.6492937996
  -0.0786014779    2.4080093129
  -0.0873725977    2.4086489324
   0.0000000000    1.9299407809
   0.0000000000    1.9300507876
  -0.0874606492    2.4086908611
  -0.1324205838    2.4331265126
  -0.1727588892    2.4585520196
  -0.2562044373    2.5508444177
  -0.1726090215    2.4583914855
  -0.1326185341    2.4332384955
  -0.2559376698    2.5505656030
   0.0000000000    1.9267586376
  -0.1289953511    2.4279067039
  -0.2177854649    2.4999980832
  -0.2174250842    2.4996244387
   0.0000000000    1.9248509275
   0.0000000000    1.9254352701
  -0.1800006545    2.4640989096
  -0.1799379029    2.4640487994
   0.0000000000    1.9261855647
   0.0000000000    1.9261774513
  -0.1903506844    2.4766430250
   0.0000000000    1.9259037294
   0.0000000000    1.9262311817
  -0.1898283437    2.4762321209
   0.0000000000    1.9262507088
   0.0000000000    1.9259225255
  -0.1543370992    2.4476413808
   0.0000000000    1.9250240888
   0.0000000000    1.9257300241
  -0.2194432982    2.5082245805
  -0.2172249362    2.4994757848
  -0.4396020287    2.8342638494
  -0.2152927001    2.4959320349
  -0.3918420817    2.7509444169
   0.0000000000    1.9297736665
   0.0000000000    1.9296567513
  -0.4003171689    2.7655908979
  -0.4001029118    2.7652022938
