# distance [\AA]   occurrence (total=596)
0.600000                            0
0.651786                            0
0.703571                            0
0.755357                            0
0.807143                            0
0.858929                            0
0.910714                            0
0.962500                          220
1.014286                           60
1.066071                            2
1.117857                            0
1.169643                            0
1.221429                            0
1.273214                            0
1.325000                            0
1.376786                            0
1.428571                            0
1.480357                            0
1.532143                            5
1.583929                            7
1.635714                           14
1.687500                            8
1.739286                            5
1.791071                            3
1.842857                            8
1.894643                           10
1.946429                            4
1.998214                            2
2.050000                            3
2.101786                            0
2.153571                            0
2.205357                            0
2.257143                            0
2.308929                            0
2.360714                            0
2.412500                            0
2.464286                            0
2.516071                            0
2.567857                            0
2.619643                            0
2.671429                            0
2.723214                            0
2.775000                            0
2.826786                            0
2.878571                            6
2.930357                            6
2.982143                           10
3.033929                            9
3.085714                            8
3.137500                           20
3.189286                            7
3.241071                            6
3.292857                           28
3.344643                           49
3.396429                           23
3.448214                           45
3.500000                           28
