# distance [\AA]   occurrence (total=1331)
0.600000                            0
0.651786                            0
0.703571                            0
0.755357                            0
0.807143                            0
0.858929                            0
0.910714                            0
0.962500                            0
1.014286                            0
1.066071                            0
1.117857                            0
1.169643                            0
1.221429                            0
1.273214                            0
1.325000                            0
1.376786                            0
1.428571                            0
1.480357                           47
1.532143                          144
1.583929                            4
1.635714                            0
1.687500                            0
1.739286                            0
1.791071                            0
1.842857                          480
1.894643                            0
1.946429                            0
1.998214                            0
2.050000                            0
2.101786                            0
2.153571                            0
2.205357                            0
2.257143                            8
2.308929                           23
2.360714                           23
2.412500                           36
2.464286                           35
2.516071                           21
2.567857                           16
2.619643                           20
2.671429                           18
2.723214                           17
2.775000                           12
2.826786                           16
2.878571                           11
2.930357                           25
2.982143                           27
3.033929                           34
3.085714                           40
3.137500                           30
3.189286                           30
3.241071                           26
3.292857                           41
3.344643                           33
3.396429                           32
3.448214                           45
3.500000                           37
