# distance [\AA]   occurrence (total=2335)
0.600000                            0
0.651786                            0
0.703571                            0
0.755357                            0
0.807143                            0
0.858929                            0
0.910714                            0
0.962500                          282
1.014286                          108
1.066071                            0
1.117857                            0
1.169643                            0
1.221429                            0
1.273214                            0
1.325000                            0
1.376786                            0
1.428571                            0
1.480357                            0
1.532143                            0
1.583929                            0
1.635714                            2
1.687500                           10
1.739286                           26
1.791071                            8
1.842857                           31
1.894643                           31
1.946429                           36
1.998214                           27
2.050000                           23
2.101786                          197
2.153571                          335
2.205357                           17
2.257143                           17
2.308929                            8
2.360714                            6
2.412500                            7
2.464286                           12
2.516071                            9
2.567857                            4
2.619643                            8
2.671429                           47
2.723214                          105
2.775000                           75
2.826786                           68
2.878571                           47
2.930357                           58
2.982143                           57
3.033929                           61
3.085714                           55
3.137500                           59
3.189286                           75
3.241071                          105
3.292857                           76
3.344643                           58
3.396429                           70
3.448214                           65
3.500000                           50
