# q1 [Angstrom]    q2 [Angstrom]
  -0.3416947814    2.6618813919
  -0.4812908461    2.9055336774
  -0.4481037586    2.8457028752
   0.0000000000    3.6578620303
  -0.4183612212    2.7853989202
  -0.4585269507    2.8622459412
  -0.4067852295    2.7693015109
  -0.3256656609    2.6362294010
  -0.4408498760    2.8361176014
  -0.4824659517    2.9013615665
  -0.3375702111    2.6548893637
  -0.4572576503    2.8558192207
  -0.4898085399    2.9206155784
  -0.4346803542    2.8269443653
  -0.4190334795    2.7937560074
   0.0000000000    1.9289359688
  -0.3869534007    2.7433607453
  -0.3651560479    2.7024647684
  -0.5026147909    2.9391615506
  -0.5116163683    2.9633371693
   0.0000000000    1.9370997450
  -0.4444158982    2.8410213591
  -0.4796530457    2.9039939962
  -0.3511403495    2.6774220402
  -0.4533626752    2.8511724354
  -0.4064742307    2.7756311389
  -0.4219284827    2.7954969577
  -0.4200096777    2.7957379561
  -0.5057878573    2.9581475920
  -0.4659433541    2.8794366315
  -0.4548329080    2.8586546877
  -0.3411795205    2.6634473453
   0.0000000000    3.8245760714
  -0.3789247258    2.7299043480
  -0.4154509835    2.7880056119
  -0.4366713958    2.8351031263
  -0.4038992612    2.7669584536
  -0.4358199410    2.8266112061
  -0.4013366392    2.7627276150
  -0.4371444495    2.8365734025
  -0.4884111433    2.9297041017
  -0.4890320336    2.9272985973
  -0.4872116737    2.9238192476
  -0.4075105986    2.7717405710
  -0.3600686273    2.6939546834
  -0.4993634933    2.9336656471
  -0.5134012363    2.9652319228
  -0.3461911358    2.6691996478
  -0.4347153838    2.8227831895
  -0.4998789291    2.9384303817
  -0.4690820851    2.8870602776
  -0.4690770539    2.8870489332
  -0.4549843940    2.8624215285
  -0.3932641560    2.7490185934
  -0.4572683402    2.8561113141
  -0.4630754251    2.8669675350
  -0.4597357827    2.8693936137
  -0.3060419137    2.6090770870
  -0.4064818378    2.7735921419
  -0.3378272217    2.6530647252
  -0.5137290267    2.9660659476
  -0.4125864200    2.7828774118
  -0.4849910052    2.9149312808
  -0.4175487447    2.7912485602
  -0.4757218940    2.8983741932
  -0.3437195363    2.6635732438
  -0.5121877452    2.9605481208
  -0.4702552891    2.8783487420
  -0.4644598483    2.8777991315
  -0.4412333062    2.8325875625
  -0.4980519572    2.9342004163
  -0.5027688352    2.9443355135
  -0.3442620547    2.6660823582
  -0.3512498172    2.6779045119
  -0.3430879082    2.6731941450
  -0.3597986443    2.6918729980
  -0.4294398164    2.8072585490
