# distance [\AA]   occurrence (total=94)
0.600000                            0
0.651786                            0
0.703571                            0
0.755357                            0
0.807143                            0
0.858929                            0
0.910714                            0
0.962500                            0
1.014286                            0
1.066071                            0
1.117857                            0
1.169643                            0
1.221429                            0
1.273214                            0
1.325000                            0
1.376786                            0
1.428571                            0
1.480357                            0
1.532143                           21
1.583929                            0
1.635714                            0
1.687500                            0
1.739286                            0
1.791071                            0
1.842857                            0
1.894643                            0
1.946429                            0
1.998214                            0
2.050000                            0
2.101786                            0
2.153571                            0
2.205357                            0
2.257143                            0
2.308929                            0
2.360714                            3
2.412500                            8
2.464286                            8
2.516071                            7
2.567857                           10
2.619643                            0
2.671429                            4
2.723214                            0
2.775000                            0
2.826786                            0
2.878571                            2
2.930357                            0
2.982143                            0
3.033929                            5
3.085714                            2
3.137500                            2
3.189286                            3
3.241071                            0
3.292857                            2
3.344643                            1
3.396429                            4
3.448214                            8
3.500000                            4
