# distance [\AA]   occurrence (total=2640)
0.600000                            0
0.651786                            0
0.703571                            0
0.755357                            0
0.807143                            0
0.858929                            0
0.910714                            0
0.962500                          667
1.014286                          177
1.066071                            0
1.117857                            0
1.169643                            0
1.221429                            0
1.273214                            0
1.325000                            0
1.376786                            0
1.428571                            0
1.480357                            0
1.532143                            0
1.583929                            0
1.635714                            0
1.687500                            0
1.739286                            2
1.791071                           15
1.842857                           18
1.894643                           40
1.946429                           46
1.998214                           74
2.050000                           80
2.101786                           70
2.153571                           49
2.205357                           23
2.257143                           18
2.308929                            9
2.360714                            4
2.412500                            7
2.464286                            0
2.516071                            0
2.567857                            0
2.619643                            0
2.671429                            2
2.723214                            0
2.775000                            5
2.826786                           12
2.878571                           32
2.930357                           99
2.982143                          115
3.033929                          128
3.085714                          117
3.137500                          125
3.189286                          144
3.241071                          136
3.292857                          116
3.344643                           90
3.396429                           93
3.448214                           72
3.500000                           55
