# q1 [Angstrom]    q2 [Angstrom]
  -0.4363102626    2.8275433342
  -0.5040366974    2.9431775713
  -0.4795742636    2.9029056445
  -0.4551173719    2.8613141170
  -0.4488221525    2.8522253943
  -0.4250870775    2.8088132646
  -0.1153529342    2.2002843089
  -0.4223663659    2.7986622458
  -0.4458115922    2.8392604341
  -0.5137187256    2.9647726345
   0.0000000000    1.9338831557
  -0.3945266585    2.7491948685
  -0.4442986107    2.8436439709
   0.0000000000    1.9426584963
  -0.5064248802    2.9558518832
  -0.4199935207    2.7954858610
  -0.5084477585    2.9541731015
  -0.5084573313    2.9541865463
   0.0000000000    1.9562691430
   0.0000000000    1.9205133168
  -0.5020598923    2.9491801117
  -0.4347300795    2.8190705003
  -0.4827739611    2.9074832240
  -0.4922566569    2.9283291018
   0.0000000000    1.9414109398
   0.0000000000    1.9381687307
  -0.3356353921    2.6240979052
  -0.4801283149    2.9022492900
  -0.4986135271    2.9419112167
  -0.4460149871    2.8481175674
  -0.4771852102    2.9016020313
  -0.4691619553    2.8891969891
  -0.4695484131    2.8806956176
  -0.4675049515    2.8846797218
  -0.4727724762    2.8913360235
  -0.4288299202    2.7999480920
  -0.4822526675    2.9123548042
   0.0000000000    1.9395706094
   0.0000000000    1.9349606498
  -0.4559416329    2.8570697545
  -0.4559404099    2.8570663402
   0.0000000000    1.9205083748
   0.0000000000    1.9594758910
  -0.3974454708    2.7543220869
  -0.4257335764    2.8001092985
  -0.4890550206    2.9262068326
   0.0000000000    1.9426539560
   0.0000000000    1.9398034098
  -0.3771033864    2.7198369100
  -0.4760448419    2.9010861586
  -0.4519681635    2.8577392435
  -0.4562083557    2.8625374666
  -0.3965713813    2.7370718514
  -0.4093109678    2.7729162567
  -0.4862806355    2.9195782614
   0.0000000000    1.9382464680
  -0.4432269181    2.8356350588
  -0.4834407946    2.9128874015
  -0.4976109593    2.9314278970
  -0.4529178815    2.8537763176
  -0.4862421078    2.9193695462
  -0.4421742604    2.8396264218
  -0.4890883593    2.9194679419
  -0.4497531009    2.8510094652
  -0.4647861838    2.8808360096
  -0.5089191454    2.9609729512
  -0.3826511454    2.7382019899
  -0.4531165280    2.8568266697
  -0.4771877267    2.8998390221
   0.0000000000    1.9524534363
  -0.4709770388    2.8888538411
  -0.4306927448    2.8194211557
  -0.3961992759    2.7609165186
  -0.4743235582    2.8902499702
  -0.5004897055    2.9433552745
   0.0000000000    1.9328526884
   0.0000000000    1.9534621062
  -0.4836202713    2.9118635216
  -0.3971893341    2.7560149128
  -0.4800155801    2.9009928881
  -0.4856035753    2.9099254430
  -0.4121121465    2.7738469279
  -0.4905325914    2.9196526253
  -0.4286340343    2.8067590932
  -0.4725328183    2.8938093840
  -0.4768061733    2.9004036451
  -0.3946130865    2.7560454409
  -0.4438765845    2.8360981935
  -0.4575794581    2.8661661359
  -0.4546384080    2.8628445088
  -0.4896092295    2.9282354995
  -0.4995449012    2.9385048985
  -0.5050847831    2.9483024419
  -0.3711897504    2.7160951338
  -0.4088570129    2.7839216175
  -0.4620459514    2.8729338606
  -0.4620745362    2.8729876944
  -0.5036416276    2.9511208108
  -0.5036889061    2.9512058712
  -0.4928581437    2.9234377891
  -0.4950839386    2.9318495393
   0.0000000000    1.9359738888
   0.0000000000    1.9497686504
  -0.3584460389    2.6581491839
  -0.5034617305    2.9464058684
  -0.5130025382    2.9681188935
  -0.3965405471    2.7573673643
  -0.4252316179    2.8063423689
  -0.4991968202    2.9338284772
   0.0000000000    1.9696932107
   0.0000000000    1.9194662619
  -0.4964539942    2.9311997818
  -0.5040764540    2.9462184867
   0.0000000000    1.9173671622
  -0.3827328742    2.7320497993
  -0.5002357762    2.9439322927
  -0.4443111811    2.8397235261
  -0.4799121708    2.9037711773
  -0.4268507827    2.8054575710
  -0.3846251460    2.7386563641
   0.0000000000    1.9503221520
   0.0000000000    1.9429519203
  -0.4310318801    2.8223092827
  -0.3783015191    2.7003421864
  -0.4289556742    2.8100719325
  -0.3906685629    2.7484247930
  -0.4207885929    2.7954405397
  -0.4969812520    2.9372592120
  -0.4901271200    2.9192094060
  -0.5040391382    2.9507442528
   0.0000000000    1.9411673978
   0.0000000000    1.9373415865
  -0.5007724080    2.9451167255
  -0.4600742545    2.8666798919
  -0.4231209279    2.7993826037
  -0.4530509743    2.8577517927
  -0.4338406122    2.8191766419
   0.0000000000    1.9621099046
   0.0000000000    1.9210976219
  -0.4961282565    2.9290808687
  -0.4840350531    2.9153156347
  -0.4600663957    2.8659210074
   0.0000000000    1.9506426283
   0.0000000000    1.9343559114
  -0.4635122609    2.8807971267
  -0.4959173631    2.9415691381
  -0.4204307515    2.8011505934
  -0.4830344113    2.9098446506
  -0.5057640337    2.9565458350
  -0.5005857043    2.9441755433
  -0.4869787788    2.9171009481
   0.0000000000    1.9529203064
   0.0000000000    1.9205719877
  -0.4776614451    2.9035537064
  -0.4775305894    2.9033105856
  -0.4777357924    2.9036871188
  -0.4774727984    2.9032020030
  -0.4634201078    2.8689836780
  -0.3605734772    2.6909414937
  -0.4163525199    2.7842221287
  -0.3343779429    2.6303175841
  -0.4288462908    2.8104232114
  -0.4197258448    2.7936548213
  -0.4052120734    2.7703319891
  -0.5051889484    2.9495092260
  -0.5001197262    2.9362178068
  -0.5025184072    2.9416383065
  -0.4690282651    2.8828574728
  -0.4473666813    2.8414808655
  -0.4469455606    2.8441176587
  -0.4277010123    2.8131720597
  -0.5081199587    2.9606208047
  -0.4824636330    2.9101488719
  -0.4916242475    2.9219068333
  -0.5047622387    2.9468570617
   0.0000000000    1.9604076974
   0.0000000000    1.9193157143
  -0.4926565170    2.9271945881
  -0.4684582374    2.8818534484
  -0.4475260845    2.8484996055
  -0.4652522834    2.8818333658
   0.0000000000    1.9370415203
  -0.4521095784    2.8567186619
  -0.3700076076    2.7132264274
  -0.4931149714    2.9277053396
  -0.4964595856    2.9356641072
  -0.4281452536    2.8058491282
  -0.3443951343    2.6345770713
  -0.2907470190    2.5512566625
  -0.5122374696    2.9618553971
  -0.4553899604    2.8596751705
  -0.3995033251    2.7558769591
  -0.4539597285    2.8576235662
   0.0000000000    1.9422610659
   0.0000000000    1.9404930891
  -0.4940997968    2.9324478189
  -0.4980360126    2.9395823008
   0.0000000000    1.9380611603
   0.0000000000    1.9400730259
  -0.4963809903    2.9332761138
  -0.4889448407    2.9246758211
  -0.4565040046    2.8659679653
  -0.4796734246    2.9033825985
   0.0000000000    1.9170756424
  -0.3798246101    2.7314081712
  -0.4776653607    2.9009558482
  -0.4500771171    2.8518743330
   0.0000000000    1.9453690257
  -0.4532807013    2.8605315754
  -0.5133867110    2.9693395355
  -0.4952607517    2.9261043850
  -0.4101175272    2.7766829222
   0.0000000000    1.9208585285
   0.0000000000    1.9673681693
  -0.5056130477    2.9541249753
  -0.5097042122    2.9570311942
  -0.5129004694    2.9639348449
  -0.5024341467    2.9483087586
  -0.4633972256    2.8710629487
  -0.5046716615    2.9541914599
  -0.4459976485    2.8503208619
  -0.4873941840    2.9159921607
   0.0000000000    1.9183161430
