# distance [\AA]   occurrence (total=491)
0.600000                            0
0.651786                            0
0.703571                            0
0.755357                            0
0.807143                            0
0.858929                            0
0.910714                            0
0.962500                            0
1.014286                            0
1.066071                            0
1.117857                            0
1.169643                            0
1.221429                            0
1.273214                            0
1.325000                            0
1.376786                            0
1.428571                            0
1.480357                            0
1.532143                            0
1.583929                            0
1.635714                            0
1.687500                            0
1.739286                            0
1.791071                            0
1.842857                            0
1.894643                            0
1.946429                            0
1.998214                            0
2.050000                            0
2.101786                            0
2.153571                            1
2.205357                            2
2.257143                           36
2.308929                           36
2.360714                           38
2.412500                           46
2.464286                           51
2.516071                           53
2.567857                           39
2.619643                           40
2.671429                           16
2.723214                            7
2.775000                            1
2.826786                            2
2.878571                            1
2.930357                            0
2.982143                            1
3.033929                            0
3.085714                            0
3.137500                            1
3.189286                            0
3.241071                            0
3.292857                            1
3.344643                            4
3.396429                            9
3.448214                           31
3.500000                           75
