# distance [\AA]   occurrence (total=3317)
0.600000                            0
0.651786                            0
0.703571                            0
0.755357                            0
0.807143                            0
0.858929                            0
0.910714                            0
0.962500                          818
1.014286                          266
1.066071                            0
1.117857                            0
1.169643                            0
1.221429                            0
1.273214                            0
1.325000                            0
1.376786                            0
1.428571                            0
1.480357                            0
1.532143                            0
1.583929                            0
1.635714                            0
1.687500                            1
1.739286                            6
1.791071                           14
1.842857                           20
1.894643                           38
1.946429                           69
1.998214                           76
2.050000                           91
2.101786                           78
2.153571                           60
2.205357                           31
2.257143                           31
2.308929                           22
2.360714                            9
2.412500                            5
2.464286                            4
2.516071                            2
2.567857                            1
2.619643                            0
2.671429                            2
2.723214                            6
2.775000                           10
2.826786                           24
2.878571                           75
2.930357                          125
2.982143                          132
3.033929                          124
3.085714                          122
3.137500                          153
3.189286                          154
3.241071                          175
3.292857                          157
3.344643                          113
3.396429                          110
3.448214                          110
3.500000                           83
