# distance [\AA]   occurrence (total=2237)
0.600000                            0
0.651786                            0
0.703571                            0
0.755357                            0
0.807143                            0
0.858929                            0
0.910714                            0
0.962500                            0
1.014286                            0
1.066071                            0
1.117857                            0
1.169643                            0
1.221429                            0
1.273214                            0
1.325000                            0
1.376786                            0
1.428571                            0
1.480357                            0
1.532143                          359
1.583929                           60
1.635714                            0
1.687500                            0
1.739286                            0
1.791071                            0
1.842857                            0
1.894643                            0
1.946429                            0
1.998214                            1
2.050000                            2
2.101786                            6
2.153571                           61
2.205357                           77
2.257143                          128
2.308929                          116
2.360714                           93
2.412500                           86
2.464286                           77
2.516071                           75
2.567857                           67
2.619643                           59
2.671429                           37
2.723214                           60
2.775000                           41
2.826786                           37
2.878571                           33
2.930357                           27
2.982143                           27
3.033929                           43
3.085714                           44
3.137500                           59
3.189286                           87
3.241071                           93
3.292857                           93
3.344643                           88
3.396429                           71
3.448214                           74
3.500000                           56
