# distance [Angstrom]   occurrence (total=3411)
1.500000                            0
1.550296                            0
1.600592                            0
1.650888                            0
1.701183                            0
1.751479                            0
1.801775                            0
1.852071                            0
1.902367                            0
1.952663                            0
2.002959                            0
2.053254                            0
2.103550                            0
2.153846                            0
2.204142                            0
2.254438                            0
2.304734                            0
2.355030                            0
2.405325                            0
2.455621                            0
2.505917                            0
2.556213                            0
2.606509                            0
2.656805                            0
2.707101                            0
2.757396                          184
2.807692                            0
2.857988                            0
2.908284                            0
2.958580                            0
3.008876                            0
3.059172                            0
3.109467                            0
3.159763                            0
3.210059                            0
3.260355                            0
3.310651                            0
3.360947                            0
3.411243                            0
3.461538                            0
3.511834                            0
3.562130                            0
3.612426                            0
3.662722                            0
3.713018                            0
3.763314                            0
3.813609                            0
3.863905                            0
3.914201                            0
3.964497                            0
4.014793                            0
4.065089                            0
4.115385                            0
4.165680                            0
4.215976                            0
4.266272                            0
4.316568                            0
4.366864                            0
4.417160                            0
4.467456                            0
4.517751                          496
4.568047                            0
4.618343                           32
4.668639                            0
4.718935                            0
4.769231                            0
4.819527                            0
4.869822                            0
4.920118                            0
4.970414                            0
5.020710                            0
5.071006                            0
5.121302                            0
5.171598                            0
5.221893                            0
5.272189                            0
5.322485                          349
5.372781                            0
5.423077                            0
5.473373                            0
5.523669                            0
5.573964                            0
5.624260                            0
5.674556                            0
5.724852                            0
5.775148                            0
5.825444                            0
5.875740                            0
5.926036                            0
5.976331                            0
6.026627                            0
6.076923                            0
6.127219                            0
6.177515                            0
6.227811                            0
6.278107                            0
6.328402                            0
6.378698                            0
6.428994                          186
6.479290                          128
6.529586                            0
6.579882                            0
6.630178                            0
6.680473                            0
6.730769                            0
6.781065                            0
6.831361                            0
6.881657                            0
6.931953                            0
6.982249                          264
7.032544                            0
7.082840                            0
7.133136                            0
7.183432                            0
7.233728                            0
7.284024                            0
7.334320                            0
7.384615                           64
7.434911                            0
7.485207                            0
7.535503                            0
7.585799                            0
7.636095                            0
7.686391                            0
7.736686                            0
7.786982                            0
7.837278                          472
7.887574                            0
7.937870                            0
7.988166                            0
8.038462                            0
8.088757                            0
8.139053                            0
8.189349                            0
8.239645                            0
8.289941                            0
8.340237                          277
8.390533                            0
8.440828                            0
8.491124                            0
8.541420                            0
8.591716                            0
8.642012                            0
8.692308                          256
8.742604                           40
8.792899                            0
8.843195                            0
8.893491                            0
8.943787                            0
8.994083                            0
9.044379                            0
9.094675                          236
9.144970                            0
9.195266                            0
9.245562                            0
9.295858                            0
9.346154                            0
9.396450                            0
9.446746                            0
9.497041                          396
9.547337                            0
9.597633                            0
9.647929                            0
9.698225                            0
9.748521                            0
9.798817                            0
9.849112                           31
9.899408                            0
9.949704                            0
10.000000                            0
