# angle [Degrees]   occurrence (total=805)
0.000000                            0
5.135135                            0
10.270270                            0
15.405405                            0
20.540541                            0
25.675676                            4
30.810811                           17
35.945946                           17
41.081081                           22
46.216216                           18
51.351351                           42
56.486486                           11
61.621622                           13
66.756757                            4
71.891892                            5
77.027027                           15
82.162162                           21
87.297297                           17
92.432432                           40
97.567568                           29
102.702703                           44
107.837838                          175
112.972973                           37
118.108108                           33
123.243243                           64
128.378378                           59
133.513514                           47
138.648649                           29
143.783784                           15
148.918919                           14
154.054054                            3
159.189189                            5
164.324324                            2
169.459459                            2
174.594595                            1
179.729730                            0
184.864865                            0
190.000000                            0
