# angle [Degrees]   occurrence (total=345)
0.000000                            0
5.135135                            0
10.270270                            0
15.405405                            0
20.540541                            0
25.675676                            0
30.810811                            0
35.945946                            0
41.081081                            0
46.216216                            0
51.351351                            0
56.486486                            0
61.621622                            3
66.756757                           21
71.891892                           39
77.027027                           26
82.162162                           32
87.297297                           14
92.432432                           11
97.567568                            8
102.702703                            2
107.837838                            6
112.972973                            3
118.108108                            2
123.243243                            3
128.378378                            1
133.513514                            2
138.648649                            5
143.783784                            7
148.918919                           16
154.054054                           24
159.189189                           23
164.324324                           18
169.459459                           22
174.594595                           16
179.729730                           29
184.864865                           12
190.000000                            0
