# distance [Angstrom]   occurrence (total=308)
0.500000                            0
0.550562                            0
0.601124                            0
0.651685                            0
0.702247                            0
0.752809                            0
0.803371                            0
0.853933                            0
0.904494                            0
0.955056                            0
1.005618                            0
1.056180                            0
1.106742                            0
1.157303                            0
1.207865                            0
1.258427                            0
1.308989                            0
1.359551                            0
1.410112                            0
1.460674                            0
1.511236                            0
1.561798                            0
1.612360                            0
1.662921                            0
1.713483                            0
1.764045                            0
1.814607                            0
1.865169                            0
1.915730                            0
1.966292                            0
2.016854                            0
2.067416                            0
2.117978                            0
2.168539                            0
2.219101                            0
2.269663                            0
2.320225                            0
2.370787                            0
2.421348                            0
2.471910                            0
2.522472                            0
2.573034                            0
2.623596                            1
2.674157                            5
2.724719                           30
2.775281                           32
2.825843                           39
2.876404                           33
2.926966                           22
2.977528                            9
3.028090                            1
3.078652                            1
3.129213                            0
3.179775                            0
3.230337                            1
3.280899                            0
3.331461                            0
3.382022                            0
3.432584                            0
3.483146                            1
3.533708                            4
3.584270                            3
3.634831                            1
3.685393                            2
3.735955                            0
3.786517                            1
3.837079                            5
3.887640                            3
3.938202                            8
3.988764                           10
4.039326                            3
4.089888                            4
4.140449                            2
4.191011                            3
4.241573                            1
4.292135                            5
4.342697                            5
4.393258                            7
4.443820                            9
4.494382                            5
4.544944                            6
4.595506                            7
4.646067                            5
4.696629                            5
4.747191                           10
4.797753                            1
4.848315                            2
4.898876                            6
4.949438                            3
5.000000                            7
