# q1 [Angstrom]    q2 [Angstrom]
   0.0039390396    1.9412022550
  -0.3599268077    2.6689339497
  -0.9487587137    3.8465977617
   0.3771651232    5.0354703023
   0.9581936947    3.8734131593
   0.9675477390    3.8547050706
   0.3979958397    4.9938088693
  -0.5080584367    4.8449578294
   0.4735852542    2.8816704475
   0.4741567838    2.8805273883
  -0.3638658473    2.6610558704
  -0.9526977533    3.8387196824
   0.5810285715    3.1190829130
   0.5903826159    3.1003748242
   0.0208307165    4.2394786229
   0.9816436910    3.8977873209
   0.9822152206    3.8966442617
  -0.0145434116    1.9491557479
  -0.5328039198    2.9856767644
  -0.4598788428    2.8398266102
  -0.5888319060    4.5664513771
  -0.5182605083    3.0147635875
  -0.4453354312    2.8689134334
   0.0093540444    1.9383176812
  -0.5601978550    3.0774214799
   0.4080610240    2.7522827260
   0.4095036219    2.7493975300
  -0.5429057938    4.6542163615
  -0.5695518993    3.0587133912
   0.0729250771    3.9054344499
   0.0014425980    1.9332754821
  -0.9509668178    3.8380943136
   0.3348432882    5.0244996287
   0.9434869942    3.8072122167
   0.9368268516    3.8205325019
   0.4225708846    4.8490444358
  -0.9524094157    3.8352091176
   0.6086437060    3.1375256403
   0.6019835634    3.1508459255
   0.0877275964    4.1793578594
  -0.0066601426    1.9335585135
  -0.5209161096    2.9620704474
  -0.5142559669    2.9753907326
   0.0005715296    1.9333568798
  -0.0110588906    1.9410970382
  -0.3879098474    2.6947989518
  -0.3768509568    2.7169167330
   0.3881211561    2.6949900224
   0.3764679869    2.7182963609
   0.0112040134    1.9429896446
  -0.4230758448    2.8115493609
  -0.5369051489    3.0392079692
  -0.4342798582    2.7891413341
  -0.5481091623    3.0167999425
  -0.0071331378    1.9336203293
  -0.4271622749    2.7736786035
  -0.1138293042    3.8853596588
  -0.4200291371    2.7879448791
  -0.0116531692    1.9420540487
   0.3892175981    2.7109564232
   0.3858459957    2.7176996279
  -0.0033716023    1.9392644317
   0.4389359739    2.8270873429
   0.4465590605    2.8118411695
   0.0076230867    1.9339692218
  -0.0072854442    1.9352032819
  -0.9889867033    3.8986058001
  -0.4770955380    2.8748234694
  -0.6140747165    3.1487818265
  -0.9817012591    3.9131766885
  -0.4698100938    2.8893943579
  -0.6067892723    3.1633527149
   0.4376172451    2.8656227673
   0.4549715079    2.8309142416
  -0.0098121928    3.7604816429
  -0.5087821477    4.7584215528
   0.5118911653    4.8527968761
   0.3749119868    5.1267552331
   0.0173542629    1.9556797515
  -0.4474294378    2.8852471528
  -0.9463993927    3.8831870627
   0.3428791571    2.6348803829
   0.3451509787    2.6303367397
  -0.6683691859    4.6573770690
  -0.4647837007    2.8505386271
  -0.9637536556    3.8484785369
  -0.0057536089    1.9303306336
  -0.4888460143    2.8965154445
  -0.4989699549    4.7780459383
  -0.4830924054    2.9080226622
   0.0022718216    1.9445784255
  -1.0112483430    3.9716187548
   0.4679299409    2.8648766232
   0.4653426285    2.8700512480
  -1.0135201647    3.9670751116
   0.4881205990    2.8951130038
   0.4828088260    2.9057365499
  -0.0053117730    1.9294953519
  -0.1369791785    4.1029729025
  -0.0025873124    1.9341913662
  -0.0130815252    1.9448709442
  -0.3775657378    2.6738393694
  -0.3644842126    2.7000024197
   0.3702355520    2.6793979417
   0.3695051374    2.6808587709
  -0.0007304146    1.9403876668
   0.4876712699    2.9161261490
   0.4932287347    2.9050112196
   0.4645464363    2.8699685282
   0.4699529150    2.8591555708
   0.0119815017    1.9434485259
  -0.3585840903    2.6845797098
  -0.3705655919    2.6606167064
  -0.0129409103    1.9469768623
  -0.4683397912    2.8577746241
  -0.4789806272    2.8790562961
  -0.4553988809    2.8836564447
  -0.4660397169    2.9049381167
  -0.0106408360    3.8157358785
   0.0055574647    1.9296686797
   0.0054064787    1.9300626981
   0.0028954654    1.9290048989
  -1.0068944494    3.9485847285
  -0.4894117890    2.9136194078
   0.5055278906    2.9841628893
   0.5187798495    2.9576589716
   0.0825845493    3.8300495720
  -0.4858849476    4.9669885659
   0.0848541858    5.5816319646
   0.9507387683    3.8498627996
   0.9579919020    3.8353565321
   0.5093275383    4.7326852596
  -1.0097899148    3.9427937976
  -0.4923072544    2.9078284769
   0.8658845825    3.6801544281
   0.8731377163    3.6656481605
   0.4244733525    4.5629768881
   0.0132519589    1.9466031903
  -0.4229433413    2.8189937907
  -0.9914128383    3.9559327846
   0.3711152960    2.6612546908
   0.3567697834    2.6899457160
  -0.4361953002    2.7924898729
  -1.0046647971    3.9294288668
   0.5174826604    4.9274083065
  -0.5684694970    4.8018194672
   0.0072531338    1.9338789956
  -0.4414112300    2.8312077231
  -0.4486643638    2.8167014555
  -0.0143455126    1.9477151240
   0.3611390285    2.6640337218
   0.3609234825    2.6644648138
  -0.0064508685    1.9312851642
  -0.4648311260    2.8480456791
  -0.4583802574    2.8609474161
  -0.0002155460    1.9421867568
   0.0099294683    1.9386910986
  -0.3829064589    2.7243629530
   0.3928280177    2.7044756130
   0.3828952546    2.7243411391
  -0.3928359272    2.7045040164
  -0.0099327631    1.9386851037
   0.3928323513    2.7044677810
   0.3828856490    2.7243611855
  -0.0099385746    1.9387060780
