# distance [\AA]   occurrence (total=1171)
0.600000                            0
0.651786                            0
0.703571                            0
0.755357                            0
0.807143                            0
0.858929                            0
0.910714                            0
0.962500                            0
1.014286                            0
1.066071                            0
1.117857                            0
1.169643                            0
1.221429                            0
1.273214                            0
1.325000                            0
1.376786                            0
1.428571                            0
1.480357                            0
1.532143                           16
1.583929                          186
1.635714                           64
1.687500                            0
1.739286                            0
1.791071                            0
1.842857                            0
1.894643                            0
1.946429                            0
1.998214                            0
2.050000                            1
2.101786                            9
2.153571                           31
2.205357                           44
2.257143                           56
2.308929                           77
2.360714                          103
2.412500                           79
2.464286                           73
2.516071                           48
2.567857                           42
2.619643                           33
2.671429                           25
2.723214                           26
2.775000                           25
2.826786                           14
2.878571                           11
2.930357                            6
2.982143                            8
3.033929                           10
3.085714                           21
3.137500                           19
3.189286                           28
3.241071                           24
3.292857                           31
3.344643                           20
3.396429                            9
3.448214                           17
3.500000                           15
