# distance [\AA]   occurrence (total=1831)
0.600000                            0
0.651786                            0
0.703571                            0
0.755357                            0
0.807143                            0
0.858929                            0
0.910714                            0
0.962500                          209
1.014286                          323
1.066071                            0
1.117857                            0
1.169643                            0
1.221429                            0
1.273214                            0
1.325000                            0
1.376786                            0
1.428571                            0
1.480357                            0
1.532143                            0
1.583929                            0
1.635714                            1
1.687500                           10
1.739286                           43
1.791071                           61
1.842857                           44
1.894643                           41
1.946429                           53
1.998214                           32
2.050000                           20
2.101786                            9
2.153571                            8
2.205357                            4
2.257143                            5
2.308929                            3
2.360714                            3
2.412500                            0
2.464286                            0
2.516071                            0
2.567857                            0
2.619643                            2
2.671429                            1
2.723214                            4
2.775000                            2
2.826786                           18
2.878571                           38
2.930357                           28
2.982143                           24
3.033929                           21
3.085714                           39
3.137500                           66
3.189286                           87
3.241071                           98
3.292857                          108
3.344643                          110
3.396429                           95
3.448214                          127
3.500000                           94
