# q1 [Angstrom]    q2 [Angstrom]
  -0.4845383247    2.9171225748
  -0.4397553484    2.8458405294
  -0.3525396189    2.7047349246
  -0.3920773533    2.7710637262
  -0.4483161365    2.8552700338
  -0.3633901619    2.7203597534
  -0.4284902357    2.8258523217
  -0.4479092203    2.8685581090
  -0.4117590843    2.7961926129
  -0.4034457088    2.7821398448
  -0.3433648847    2.6860587175
   0.0000000000    1.9367648262
  -0.3511932215    2.6979136549
  -0.4232727059    2.8178446407
  -0.4718861508    2.9026424929
  -0.3527730085    2.7001979396
   0.0000000000    1.9366992483
  -0.3541193785    2.7059896956
  -0.3476524398    2.6918648188
  -0.3627556561    2.7142461653
  -0.3583169086    2.7083209191
  -0.3598707055    2.7089779453
  -0.3611918161    2.7114490304
  -0.4602880133    2.8831598527
  -0.4924294587    2.9430199714
  -0.5004325917    2.9600933165
  -0.3827123722    2.7471337904
  -0.4651244510    2.8908732923
  -0.4977343505    2.9554991386
  -0.3790615319    2.7431458586
  -0.3678986750    2.7248173626
  -0.3116684604    2.6478030698
  -0.4033760116    2.7845663359
  -0.4131274978    2.8025147622
   0.0000000000    1.9535254672
  -0.3634810957    2.7234431568
  -0.3985516095    2.7765409116
  -0.4161350059    2.8082656205
  -0.4029116787    2.7833279395
  -0.4088842473    2.7940450538
  -0.4659272190    2.8935948080
  -0.3690392304    2.7230913403
  -0.3684050674    2.7221574300
  -0.3698567342    2.7234920161
  -0.3705730713    2.7261967945
  -0.3693017604    2.7242792463
  -0.3715462174    2.7271592883
  -0.3698162865    2.7252327298
  -0.3415108054    2.6855575273
   0.0000000000    1.9367788534
  -0.3507435051    2.7028695171
  -0.4144220469    2.8003283677
  -0.4809681603    2.9258764242
  -0.4114170735    2.7981008779
  -0.4664607196    2.8954078390
  -0.4489936998    2.8633911217
  -0.4019825748    2.7800593265
  -0.3809569581    2.7476130594
  -0.4389119393    2.8481020263
  -0.4689580813    2.9027171823
  -0.3977980114    2.7755453202
  -0.4354100800    2.8440045618
  -0.3562767010    2.7094184357
  -0.4550864707    2.8666223677
  -0.4220046008    2.8161966269
  -0.3805871127    2.7459580478
  -0.3931472133    2.7690747693
  -0.3820384581    2.7490822290
  -0.3946531591    2.7700653222
  -0.3955123872    2.7712120910
  -0.3940997768    2.7707228027
  -0.3802504885    2.7456043523
  -0.3802307007    2.7452371315
  -0.3603170795    2.7144767484
  -0.4422602250    2.8492558170
  -0.4612236985    2.8781421813
  -0.3542770050    2.7086562609
  -0.4258234085    2.8198606082
  -0.3503676889    2.7007024045
  -0.3892097470    2.7636305750
  -0.5011897945    2.9587566467
  -0.3478657679    2.6947344784
  -0.4884589823    2.9365289801
  -0.4958993501    2.9520819954
  -0.4514547049    2.8669303308
  -0.4552443324    2.8740111909
  -0.5008427937    2.9615069154
  -0.4902860888    2.9401677585
  -0.3532830177    2.7026507179
  -0.3400405586    2.6828788563
  -0.3449914336    2.6891995067
  -0.4262558925    2.8229921316
  -0.4462129418    2.8578816451
  -0.4537374992    2.8733289256
  -0.4426021270    2.8534626520
  -0.3387389658    2.6835750354
  -0.4138290795    2.8043375469
  -0.4894863141    2.9359277708
  -0.4335840439    2.8360497441
  -0.3655303443    2.7204115828
  -0.4450893471    2.8494840238
  -0.3833387374    2.7490953954
  -0.3554347082    2.7068222991
   0.0000000000    1.9576001007
  -0.4496333690    2.8655527922
  -0.3715561577    2.7303527326
  -0.3523014754    2.6990022403
  -0.3414663728    2.6857559650
  -0.3352852798    2.6761644178
  -0.3521591035    2.6982623795
  -0.4399713426    2.8455725128
  -0.4470575846    2.8602680394
  -0.4446022522    2.8553157369
  -0.4335235528    2.8337580182
  -0.4534393910    2.8751550191
  -0.4453186618    2.8595461315
  -0.4493069197    2.8679634282
  -0.4443249068    2.8574889682
  -0.4533638481    2.8762051353
  -0.4473603239    2.8645828343
  -0.4410073710    2.8516322728
  -0.4483672133    2.8650936164
  -0.4478561417    2.8656606549
  -0.4752168765    2.9130925885
  -0.4120531401    2.7970716797
  -0.3632541886    2.7234592418
  -0.3278138053    2.6708350859
   0.0000000000    1.9539181374
  -0.4002973327    2.7798069624
  -0.5056813594    2.9692115110
  -0.3731866520    2.7341731725
   0.0000000000    1.9366113551
  -0.3721375790    2.7350128005
  -0.3695617327    2.7303561414
  -0.3564618471    2.7099005355
  -0.4429476802    2.8525046859
  -0.4474869635    2.8623516799
  -0.4856984935    2.9349759432
  -0.3940264514    2.7698573988
  -0.5070231587    2.9718396220
  -0.4075360555    2.7900873405
  -0.4951078751    2.9461542882
  -0.4025378828    2.7812108863
   0.0000000000    1.9381220248
  -0.3348248024    2.6810964956
  -0.4441775375    2.8537953070
  -0.3977794827    2.7713359164
  -0.4645343519    2.8843517606
  -0.3451391435    2.6906152821
  -0.3660946517    2.7225331325
  -0.3717269280    2.7296760760
  -0.3821160661    2.7448285044
  -0.3677935362    2.7220496138
  -0.4629443105    2.8903477079
  -0.3956862776    2.7694781077
  -0.3665109539    2.7240991834
  -0.4500863524    2.8579837146
  -0.3794628942    2.7477423522
  -0.3760166980    2.7361744714
  -0.4399627132    2.8501894277
  -0.4827590741    2.9257101178
  -0.4035181097    2.7841457369
  -0.3702416272    2.7344123924
  -0.4609657844    2.8836645866
  -0.4799206813    2.9194579125
  -0.4230277352    2.8208039833
  -0.4772925661    2.9172873224
  -0.3780242324    2.7445399773
  -0.3171323270    2.6553716741
  -0.3730447216    2.7315272759
  -0.4912417338    2.9445007811
  -0.4576962046    2.8843535415
  -0.4455008912    2.8690176207
  -0.3582477653    2.7093117761
  -0.3837844270    2.7521587297
  -0.3681417255    2.7241963082
  -0.4894849632    2.9376138784
  -0.4960537118    2.9502098597
  -0.3959401797    2.7735601743
  -0.2996584632    2.6331166112
  -0.4199123712    2.8123192650
  -0.4229369853    2.8169757408
  -0.3882394357    2.7599413285
