# Angle [degrees]   occurrence (total=143)
0.000000                            0
5.135135                            0
10.270270                            0
15.405405                            0
20.540541                            0
25.675676                            0
30.810811                            0
35.945946                            0
41.081081                            0
46.216216                            0
51.351351                            0
56.486486                            0
61.621622                            0
66.756757                            0
71.891892                            0
77.027027                            1
82.162162                           11
87.297297                           13
92.432432                           24
97.567568                           14
102.702703                            9
107.837838                           10
112.972973                            5
118.108108                            6
123.243243                            3
128.378378                            1
133.513514                            2
138.648649                            3
143.783784                            1
148.918919                            1
154.054054                            3
159.189189                            1
164.324324                            2
169.459459                            3
174.594595                            4
179.729730                           18
184.864865                            8
190.000000                            0
