# q1 [Angstrom]    q2 [Angstrom]
  -0.1777534747    2.4783058760
  -0.1759895642    2.4701543448
  -0.1789228924    2.4793881171
   0.0000000000    1.9328222849
  -0.1438766043    2.4380973946
  -0.1415211137    2.4365768651
   0.0000000000    1.9277477130
   0.0000000000    1.9277481783
  -0.3843129936    2.7002770532
  -0.4091229830    2.7833811367
  -0.0183544447    2.3951882215
  -0.0225878636    2.3946467601
   0.0000000000    1.9287014140
  -0.0225752095    2.3946468253
  -0.1051340756    2.4183561991
  -0.1221151023    2.4243716757
  -0.3014396102    2.6110478639
  -0.1222260907    2.4241931518
  -0.1033679000    2.4175437848
  -0.3024334683    2.6125385947
   0.0000000000    1.9279773934
  -0.0337296286    2.3932548030
  -0.1914419033    2.4743856790
  -0.1915441248    2.4744784557
   0.0000000000    1.9252195476
   0.0000000000    1.9258011270
  -0.1155671693    2.4202253199
  -0.0918473376    2.4091031226
   0.0000000000    1.9294356817
   0.0000000000    1.9289922430
  -0.1204859363    2.4266303727
   0.0000000000    1.9282606311
   0.0000000000    1.9285554047
  -0.1205308753    2.4266572643
   0.0000000000    1.9285534552
   0.0000000000    1.9282591318
  -0.1223117312    2.4271137366
   0.0000000000    1.9260900241
   0.0000000000    1.9271058662
  -0.3086881357    2.6176056232
  -0.2735273820    2.5721221940
  -0.1681972420    2.4567323345
  -0.3123446384    2.6281023512
  -0.1690967102    2.4551354231
  -0.3366868940    2.6653269898
  -0.4526750637    2.8579603222
  -0.1647539711    2.4543741726
  -0.1646995947    2.4543367998
  -0.2144028654    2.5009346253
   0.0000000000    1.9243779496
  -0.2142932575    2.5008252622
   0.0000000000    1.9243774585
  -0.2758673891    2.5743117702
  -0.2284239614    2.5100191680
  -0.2282396691    2.5098181429
  -0.1223264472    2.4240090941
  -0.1819274624    2.4669876282
  -0.2008500594    2.4847793357
  -0.1632380864    2.4507757957
   0.0000000000    1.9255636161
   0.0000000000    1.9261540557
  -0.4646818869    2.8735948613
   0.0000000000    1.9281485677
  -0.2217539330    2.5037352296
  -0.2215925370    2.5035229261
  -0.1440817142    2.4373492597
  -0.3657381202    2.7049159821
  -0.2054639741    2.4860460270
  -0.2044852998    2.4851202796
  -0.2054848280    2.4860779353
  -0.2044763445    2.4851252942
   0.0000000000    1.9244538372
   0.0000000000    1.9250680369
  -0.1473953107    2.4391835460
  -0.3178674647    2.6272440273
  -0.2044417722    2.4902129506
  -0.1686571921    2.4575647972
   0.0000000000    1.9242622425
   0.0000000000    1.9252145594
  -0.1504753891    2.4448670169
   0.0000000000    1.9251424770
   0.0000000000    1.9258075655
  -0.2346026605    2.5247515036
   0.0000000000    1.9255404258
  -0.1839647277    2.4707553133
  -0.1445530040    2.4404587524
  -0.2486401387    2.5410132468
  -0.2417863187    2.5320724920
  -0.1513794663    2.4453020550
   0.0000000000    1.9269742390
   0.0000000000    1.9267134496
  -0.2259125400    2.5092339965
  -0.2239137720    2.5078313579
  -0.1428667976    2.4376744801
  -0.2068198470    2.4875935900
  -0.3119689771    2.6250091528
  -0.1516781656    2.4438832334
  -0.3199337840    2.6359627205
  -0.2045740571    2.4850964273
  -0.1938132243    2.4788322159
  -0.1820119445    2.4684468041
  -0.1894469473    2.4745289694
  -0.2790384135    2.5810877259
  -0.2467965975    2.5330824851
  -0.2440479649    2.5295009474
   0.0000000000    1.9238276723
   0.0000000000    1.9247322318
  -0.2236163867    2.5061706460
  -0.3591091156    2.6983738503
   0.0000000000    1.9283537778
   0.0000000000    1.9290759264
  -0.4930850083    2.9290730483
  -0.3892197370    2.7460142037
   0.0000000000    1.9288783476
   0.0000000000    1.9294631057
  -0.4163507153    2.7923767385
  -0.1764404980    2.4593070968
  -0.4746108911    2.8906814324
  -0.3807465531    2.7333668579
   0.0000000000    1.9293662873
   0.0000000000    1.9287512956
  -0.3808927588    2.7336212565
  -0.4745664126    2.8906076089
  -0.1765041077    2.4593835651
  -0.4628496932    2.8758474864
  -0.1416646266    2.4398716976
  -0.4630278367    2.8761607682
  -0.1418627296    2.4399929173
