# Angle [degrees]   occurrence (total=117)
0.000000                            0
5.070423                            0
10.140845                            0
15.211268                            0
20.281690                            0
25.352113                            0
30.422535                            0
35.492958                            0
40.563380                            0
45.633803                            0
50.704225                            0
55.774648                            0
60.845070                            0
65.915493                            0
70.985915                            0
76.056338                            0
81.126761                            0
86.197183                            0
91.267606                            0
96.338028                            0
101.408451                            0
106.478873                            0
111.549296                            0
116.619718                            0
121.690141                            0
126.760563                            0
131.830986                            2
136.901408                            0
141.971831                           10
147.042254                           22
152.112676                           22
157.183099                           18
162.253521                           10
167.323944                            3
172.394366                            1
177.464789                            9
182.535211                           20
187.605634                            0
192.676056                            0
197.746479                            0
202.816901                            0
207.887324                            0
212.957746                            0
218.028169                            0
223.098592                            0
228.169014                            0
233.239437                            0
238.309859                            0
243.380282                            0
248.450704                            0
253.521127                            0
258.591549                            0
263.661972                            0
268.732394                            0
273.802817                            0
278.873239                            0
283.943662                            0
289.014085                            0
294.084507                            0
299.154930                            0
304.225352                            0
309.295775                            0
314.366197                            0
319.436620                            0
324.507042                            0
329.577465                            0
334.647887                            0
339.718310                            0
344.788732                            0
349.859155                            0
354.929577                            0
360.000000                            0
