# distance [Angstrom]   occurrence (total=450)
0.600000                            0
0.651786                            0
0.703571                            0
0.755357                            0
0.807143                            0
0.858929                            0
0.910714                            0
0.962500                            0
1.014286                            0
1.066071                            0
1.117857                            0
1.169643                            0
1.221429                            0
1.273214                            0
1.325000                            0
1.376786                            0
1.428571                            0
1.480357                            0
1.532143                            0
1.583929                          119
1.635714                           24
1.687500                           19
1.739286                           30
1.791071                           10
1.842857                           11
1.894643                            9
1.946429                            4
1.998214                            4
2.050000                           25
2.101786                           28
2.153571                           31
2.205357                           25
2.257143                            9
2.308929                            6
2.360714                            9
2.412500                            8
2.464286                            7
2.516071                            5
2.567857                            7
2.619643                            2
2.671429                            4
2.723214                            4
2.775000                            0
2.826786                            2
2.878571                            2
2.930357                            0
2.982143                            0
3.033929                            0
3.085714                            0
3.137500                            3
3.189286                            2
3.241071                            0
3.292857                            4
3.344643                            3
3.396429                           11
3.448214                            0
3.500000                           23
