# distance [\AA]   occurrence (total=845)
0.600000                            0
0.651786                            0
0.703571                            0
0.755357                            0
0.807143                            0
0.858929                            0
0.910714                            0
0.962500                          320
1.014286                           27
1.066071                           41
1.117857                           16
1.169643                            3
1.221429                            4
1.273214                            1
1.325000                            3
1.376786                           18
1.428571                           14
1.480357                           16
1.532143                           10
1.583929                            3
1.635714                            4
1.687500                            4
1.739286                            2
1.791071                            3
1.842857                            2
1.894643                            0
1.946429                            6
1.998214                            1
2.050000                            1
2.101786                            2
2.153571                            1
2.205357                            0
2.257143                            1
2.308929                            0
2.360714                            0
2.412500                            0
2.464286                            0
2.516071                            0
2.567857                            1
2.619643                            1
2.671429                            1
2.723214                            1
2.775000                            3
2.826786                            0
2.878571                            3
2.930357                           11
2.982143                            5
3.033929                           33
3.085714                           42
3.137500                           64
3.189286                           65
3.241071                           28
3.292857                           11
3.344643                           24
3.396429                           19
3.448214                           22
3.500000                            8
