# q1 [Angstrom]    q2 [Angstrom]
  -0.2758673891    2.5743117705
  -0.2284239613    2.5100191679
  -0.2282396691    2.5098181426
  -0.1223264474    2.4240090944
  -0.1789228924    2.4793881171
   0.0000000000    1.9328222848
  -0.1681972419    2.4567323346
  -0.1516781658    2.4438832333
  -0.3199337838    2.6359627203
  -0.2045740571    2.4850964274
  -0.2217539328    2.5037352296
  -0.2215925369    2.5035229260
  -0.1440817138    2.4373492594
  -0.3657381202    2.7049159820
  -0.1223117264    2.4271137354
   0.0000000000    1.9260900243
   0.0000000000    1.9271058665
  -0.3086881348    2.6176056224
  -0.2735273792    2.5721221906
  -0.1473953108    2.4391835461
  -0.3178674647    2.6272440273
  -0.2044417722    2.4902129506
  -0.1686571922    2.4575647972
   0.0000000000    1.9242622423
   0.0000000000    1.9252145594
  -0.3843129935    2.7002770529
  -0.4091229830    2.7833811369
  -0.0183544446    2.3951882215
  -0.1051340755    2.4183561992
  -0.1221151023    2.4243716757
  -0.3014396102    2.6110478640
  -0.1819274624    2.4669876282
  -0.2008500595    2.4847793358
  -0.1632380864    2.4507757958
   0.0000000000    1.9255636163
   0.0000000000    1.9261540556
  -0.4646818868    2.8735948613
   0.0000000000    1.9281485677
  -0.1428667976    2.4376744800
  -0.2068198470    2.4875935900
  -0.3119689772    2.6250091528
  -0.2467965974    2.5330824849
  -0.2440479648    2.5295009474
   0.0000000000    1.9238276722
   0.0000000000    1.9247322319
  -0.1647539712    2.4543741727
  -0.1646995948    2.4543367997
  -0.2144028654    2.5009346254
   0.0000000000    1.9243779495
  -0.2142932576    2.5008252623
   0.0000000000    1.9243774583
  -0.3366868932    2.6653269885
  -0.4526750640    2.8579603227
  -0.1938132243    2.4788322159
  -0.1820119446    2.4684468041
  -0.1894377146    2.4745235516
  -0.2791978048    2.5812940297
  -0.1504753891    2.4448670170
   0.0000000000    1.9251424767
   0.0000000000    1.9258075655
  -0.2346026605    2.5247515035
   0.0000000000    1.9255404260
  -0.1839647278    2.4707553133
  -0.0337296283    2.3932548030
  -0.1914419032    2.4743856789
  -0.1915441248    2.4744784556
   0.0000000000    1.9252195476
   0.0000000000    1.9258011272
  -0.0225878636    2.3946467601
   0.0000000000    1.9287014142
  -0.0225752096    2.3946468252
  -0.1155671692    2.4202253203
  -0.0918473390    2.4091031240
   0.0000000000    1.9294356818
   0.0000000000    1.9289922429
  -0.3123446386    2.6281023515
  -0.1690967101    2.4551354230
  -0.4628475586    2.8758489274
  -0.1416763190    2.4398745182
  -0.4630252555    2.8761614600
  -0.1418760242    2.4399966777
  -0.1513794663    2.4453020551
   0.0000000000    1.9269742391
   0.0000000000    1.9267134495
  -0.2259125400    2.5092339964
  -0.2239137721    2.5078313579
  -0.1764404980    2.4593070969
  -0.4746108912    2.8906814325
  -0.3807465531    2.7333668579
   0.0000000000    1.9293662871
   0.0000000000    1.9287512956
  -0.3808927588    2.7336212565
  -0.4745664126    2.8906076089
  -0.1765041076    2.4593835650
  -0.1222260907    2.4241931519
  -0.1033679000    2.4175437848
  -0.3024334683    2.6125385947
   0.0000000000    1.9279773934
  -0.1438766041    2.4380973948
  -0.1415211137    2.4365768654
   0.0000000000    1.9277477129
   0.0000000000    1.9277481784
  -0.2236163867    2.5061706460
  -0.3591091158    2.6983738505
   0.0000000000    1.9283537778
   0.0000000000    1.9290759264
  -0.4930850083    2.9290730482
  -0.3892197371    2.7460142036
   0.0000000000    1.9288783478
   0.0000000000    1.9294631056
  -0.4163507153    2.7923767385
  -0.1777534747    2.4783058760
  -0.1759895642    2.4701543447
  -0.1204859361    2.4266303726
   0.0000000000    1.9282606309
   0.0000000000    1.9285554048
  -0.1205308751    2.4266572642
   0.0000000000    1.9285534552
   0.0000000000    1.9282591320
  -0.2054639741    2.4860460269
  -0.2044852998    2.4851202796
  -0.2054848279    2.4860779354
  -0.2044763446    2.4851252941
   0.0000000000    1.9244538371
   0.0000000000    1.9250680370
  -0.1445530038    2.4404587523
  -0.2486401384    2.5410132464
  -0.2417863182    2.5320724914
