# distance [\AA]   occurrence (total=936)
0.600000                            0
0.651786                            0
0.703571                            0
0.755357                            0
0.807143                            0
0.858929                            0
0.910714                            0
0.962500                          355
1.014286                           33
1.066071                           48
1.117857                            4
1.169643                            4
1.221429                            2
1.273214                            2
1.325000                            1
1.376786                           13
1.428571                           16
1.480357                           22
1.532143                           13
1.583929                            3
1.635714                            3
1.687500                            5
1.739286                            4
1.791071                            5
1.842857                            2
1.894643                            2
1.946429                            3
1.998214                            3
2.050000                            1
2.101786                            2
2.153571                            0
2.205357                            1
2.257143                            0
2.308929                            0
2.360714                            0
2.412500                            0
2.464286                            0
2.516071                            0
2.567857                            1
2.619643                            2
2.671429                            0
2.723214                            1
2.775000                            2
2.826786                            2
2.878571                            7
2.930357                            9
2.982143                           10
3.033929                           38
3.085714                           35
3.137500                           74
3.189286                           71
3.241071                           28
3.292857                           16
3.344643                           25
3.396429                           33
3.448214                           14
3.500000                           21
