# q1 [Angstrom]    q2 [Angstrom]
  -0.2459078354    2.5250983626
   0.0000000000    1.8927121100
  -0.2456961179    2.5248723586
   0.0000000000    1.8927225399
  -0.2837151795    2.5520769583
  -0.2827475347    2.5507740408
   0.0000000000    1.8905775017
   0.0000000000    1.8905780154
  -0.3705968775    2.6317087517
  -0.3892427362    2.7230942537
  -0.2043790467    2.4658591623
  -0.2330032151    2.4938485085
   0.0000000000    1.8919264201
   0.0000000000    1.8919019331
  -0.2329939128    2.4938292641
  -0.2246913800    2.4853591272
  -0.2835122994    2.5508122307
  -0.3426261251    2.6470469870
  -0.2837831153    2.5511817988
  -0.2247301196    2.4854098811
  -0.3429958914    2.6476886910
   0.0000000000    1.8890603379
  -0.2512193984    2.5130194428
  -0.2987497273    2.5706616904
  -0.2989237835    2.5709167642
   0.0000000000    1.8897193398
   0.0000000000    1.8897690492
  -0.2836931558    2.5516744442
  -0.2837096287    2.5516849607
   0.0000000000    1.8899367819
   0.0000000000    1.8899360768
  -0.2369758586    2.4982797771
   0.0000000000    1.8891590473
   0.0000000000    1.8898582774
  -0.3141130678    2.6041702083
  -0.3273448283    2.6115023985
  -0.4573408260    2.8312732852
  -0.3148861371    2.5920735372
  -0.4933340500    2.8979014268
  -0.4923703106    2.8961002883
