# Angle [degrees]   occurrence (total=47)
0.000000                            0
5.135135                            0
10.270270                            0
15.405405                            0
20.540541                            0
25.675676                            0
30.810811                            0
35.945946                            0
41.081081                            0
46.216216                            0
51.351351                            0
56.486486                            0
61.621622                            0
66.756757                            0
71.891892                            0
77.027027                            0
82.162162                            2
87.297297                            3
92.432432                            8
97.567568                            7
102.702703                            1
107.837838                            3
112.972973                            2
118.108108                            1
123.243243                            1
128.378378                            1
133.513514                            0
138.648649                            1
143.783784                            0
148.918919                            0
154.054054                            1
159.189189                            1
164.324324                            0
169.459459                            2
174.594595                            1
179.729730                           10
184.864865                            2
190.000000                            0
