# distance [Angstrom]   occurrence (total=296)
0.600000                            0
0.651786                            0
0.703571                            0
0.755357                            0
0.807143                            0
0.858929                            0
0.910714                            0
0.962500                          121
1.014286                           13
1.066071                            7
1.117857                           12
1.169643                            2
1.221429                            3
1.273214                            1
1.325000                            7
1.376786                            6
1.428571                            2
1.480357                            2
1.532143                            2
1.583929                            2
1.635714                            2
1.687500                            2
1.739286                            0
1.791071                            0
1.842857                            0
1.894643                            1
1.946429                            0
1.998214                            0
2.050000                            0
2.101786                            0
2.153571                            0
2.205357                            1
2.257143                            1
2.308929                            0
2.360714                            1
2.412500                            0
2.464286                            0
2.516071                            0
2.567857                            0
2.619643                            1
2.671429                            1
2.723214                            0
2.775000                            0
2.826786                            0
2.878571                            0
2.930357                            1
2.982143                            1
3.033929                           23
3.085714                           17
3.137500                           22
3.189286                           17
3.241071                            8
3.292857                            1
3.344643                            6
3.396429                            4
3.448214                            2
3.500000                            4
