# q1 [Angstrom]    q2 [Angstrom]
  -0.2480843820    2.5523460440
  -0.1622181432    2.4643316483
  -0.2176206916    2.5155282655
   0.0000000000    1.9416612604
  -0.1302535049    2.4273261841
  -0.1283433716    2.4262266671
   0.0000000000    1.9310363695
   0.0000000000    1.9310397787
  -0.3832847046    2.7084105506
  -0.4393585278    2.8360134566
  -0.0086431883    2.3920542606
   0.0000000000    1.9304729847
  -0.0793488760    2.4075070592
   0.0000000000    1.9354932831
  -0.0792761239    2.4074017041
  -0.1126242374    2.4192434229
  -0.1197111861    2.4208223869
  -0.3139502511    2.6277146783
  -0.1205234918    2.4213201383
  -0.1121042431    2.4189181224
  -0.3149363941    2.6292829533
   0.0000000000    1.9373283593
  -0.0540956033    2.3981207823
   0.0000000000    1.9345299430
  -0.1947419008    2.4756531733
  -0.1946278079    2.4755461543
   0.0000000000    1.9279289392
   0.0000000000    1.9286935159
  -0.1148507932    2.4174169953
  -0.0270348536    2.3896737345
   0.0000000000    1.9344739774
   0.0000000000    1.9343425404
  -0.1044654800    2.4164844827
   0.0000000000    1.9319483676
   0.0000000000    1.9321767529
  -0.1052516628    2.4168774111
   0.0000000000    1.9321473153
   0.0000000000    1.9319230986
  -0.1294532317    2.4282654236
   0.0000000000    1.9285884601
   0.0000000000    1.9296872418
  -0.3009485129    2.6102506797
  -0.2889578043    2.5910534654
  -0.1496821191    2.4408845297
  -0.2803864436    2.5826389627
  -0.1644669811    2.4495453168
  -0.2585398061    2.5555362807
  -0.1731241695    2.4580445159
  -0.1730818825    2.4580110503
  -0.2284253567    2.5136590255
   0.0000000000    1.9329241057
  -0.2283802866    2.5136081711
   0.0000000000    1.9329229446
  -0.2920732450    2.5952459444
  -0.2261650607    2.5062497898
  -0.2259743476    2.5060121343
  -0.1316309595    2.4273951980
  -0.1898852444    2.4710904388
  -0.2157223686    2.4967585453
  -0.1674452472    2.4519707568
   0.0000000000    1.9282605908
   0.0000000000    1.9289241632
  -0.4799323126    2.9020311921
   0.0000000000    1.9382328041
  -0.2277765053    2.5074214735
  -0.2272029044    2.5067461238
  -0.1442179275    2.4355263369
  -0.3686525789    2.7086469192
  -0.2007113595    2.4799487580
  -0.1996941969    2.4789619031
  -0.2007285558    2.4799676690
  -0.1996955181    2.4789658471
   0.0000000000    1.9275084392
   0.0000000000    1.9283101441
  -0.1505159957    2.4390867417
  -0.3132205445    2.6237698427
  -0.2267298248    2.5112943356
  -0.1724371569    2.4576467694
   0.0000000000    1.9268770417
   0.0000000000    1.9279337233
  -0.1551568309    2.4453683178
   0.0000000000    1.9277382622
   0.0000000000    1.9284578945
  -0.2545793726    2.5462358560
   0.0000000000    1.9348690068
  -0.1832566978    2.4685828222
  -0.1506340839    2.4416254806
  -0.2369027700    2.5263926580
  -0.2599885545    2.5524238955
  -0.1437803292    2.4384233365
   0.0000000000    1.9303666800
   0.0000000000    1.9302541863
  -0.2186277618    2.5002916081
  -0.2172423546    2.4996377326
  -0.1369099222    2.4322707392
  -0.2042398525    2.4831914750
  -0.2889139885    2.5921062322
  -0.1544068493    2.4444265211
  -0.2964622784    2.6023053039
  -0.1993828921    2.4784807633
  -0.1859391712    2.4699053575
  -0.1692515825    2.4561593995
  -0.1938368598    2.4779439487
  -0.2856380959    2.5893089832
  -0.2310185837    2.5151416422
  -0.2272148511    2.5105588815
   0.0000000000    1.9271922976
   0.0000000000    1.9279911684
  -0.2122065328    2.4927735265
  -0.3184196518    2.6361057487
   0.0000000000    1.9319910089
   0.0000000000    1.9325937395
  -0.3777441251    2.7275868943
   0.0000000000    1.9324669658
   0.0000000000    1.9328257985
  -0.4378530074    2.8310658641
  -0.1328024565    2.4259457970
  -0.4340016471    2.8189710054
  -0.4187077171    2.7981554387
   0.0000000000    1.9325638254
   0.0000000000    1.9319550309
  -0.4177532583    2.7965123116
  -0.4350716244    2.8208566446
  -0.1340519957    2.4267089810
  -0.4740912948    2.8956002107
  -0.1508363100    2.4415412258
  -0.4742483797    2.8958844419
  -0.1509818835    2.4416427312
