# q1 [Angstrom]    q2 [Angstrom]
  -0.1777892140    2.4783388424
  -0.1759664786    2.4701358676
  -0.1789400756    2.4794072543
   0.0000000000    1.9328228308
  -0.1438473288    2.4380489396
  -0.1414993778    2.4365455148
   0.0000000000    1.9277476084
   0.0000000000    1.9277479640
  -0.3842964300    2.7002535757
  -0.4091203317    2.7833755997
  -0.0183112432    2.3951973281
  -0.0226265986    2.3946462510
   0.0000000000    1.9287007765
  -0.0226140568    2.3946470546
  -0.1046328951    2.4180678081
  -0.1218302868    2.4240039530
  -0.3014855158    2.6110686115
  -0.1223017383    2.4241855226
  -0.1034491909    2.4175352570
  -0.3024101193    2.6124741270
   0.0000000000    1.9280044745
  -0.0338653942    2.3933458125
  -0.1915230309    2.4745205088
  -0.1916011834    2.4745934968
   0.0000000000    1.9252411324
   0.0000000000    1.9258315644
  -0.1155418372    2.4201950900
  -0.0917108859    2.4090281306
   0.0000000000    1.9294350740
   0.0000000000    1.9289919966
  -0.1204417226    2.4266041987
   0.0000000000    1.9282622617
   0.0000000000    1.9285564957
  -0.1204868798    2.4266312198
   0.0000000000    1.9285545297
   0.0000000000    1.9282607559
  -0.1223427308    2.4271246689
   0.0000000000    1.9260893599
   0.0000000000    1.9271048994
  -0.3086733526    2.6175800031
  -0.2735658408    2.5721773174
  -0.1680266199    2.4566246532
  -0.3122112873    2.6279009400
  -0.1690911543    2.4551206461
  -0.3368197516    2.6655491810
  -0.4527404297    2.8580716568
