# Angle [degrees]   occurrence (total=154)
0.000000                            0
5.135135                            0
10.270270                            0
15.405405                            0
20.540541                            0
25.675676                            0
30.810811                            0
35.945946                            0
41.081081                            0
46.216216                            0
51.351351                            0
56.486486                            0
61.621622                            0
66.756757                            0
71.891892                            0
77.027027                            0
82.162162                            1
87.297297                           16
92.432432                           28
97.567568                           12
102.702703                           21
107.837838                            7
112.972973                           11
118.108108                            3
123.243243                            7
128.378378                            5
133.513514                            4
138.648649                            2
143.783784                            0
148.918919                            4
154.054054                            1
159.189189                            3
164.324324                            1
169.459459                            5
174.594595                            4
179.729730                            3
184.864865                           16
190.000000                            0
