# q1 [Angstrom]    q2 [Angstrom]
  -0.2455259255    2.5246318887
   0.0000000000    1.8926847145
  -0.2456623657    2.5248302284
   0.0000000000    1.8927216386
  -0.2837305246    2.5520959578
  -0.2827663951    2.5507979218
   0.0000000000    1.8905773894
   0.0000000000    1.8905778986
  -0.3714295325    2.6333603473
  -0.3893060793    2.7231930707
  -0.2042966278    2.4657424137
  -0.2330363375    2.4938874852
   0.0000000000    1.8919268307
   0.0000000000    1.8919027610
  -0.2330280998    2.4938590615
  -0.2247013006    2.4853691729
  -0.2835315970    2.5508365026
  -0.3426036499    2.6470111446
  -0.2838015029    2.5512046172
  -0.2247405265    2.4854204095
  -0.3429733829    2.6476526745
   0.0000000000    1.8890603166
  -0.2512491885    2.5130446233
  -0.2987669140    2.5706852866
  -0.2989456588    2.5709474476
   0.0000000000    1.8897188969
   0.0000000000    1.8897693254
  -0.2837238716    2.5517170882
  -0.2837465605    2.5517376645
   0.0000000000    1.8899362332
   0.0000000000    1.8899354656
  -0.4247300793    2.7750310046
   0.0000000000    1.8935717678
   0.0000000000    1.8935716427
  -0.2889172966    2.5586185836
   0.0000000000    1.8901137111
   0.0000000000    1.8901111491
  -0.2372188664    2.4985556279
   0.0000000000    1.8891570388
   0.0000000000    1.8898465973
  -0.3140731536    2.6041245602
  -0.3273612657    2.6115260808
  -0.4579742096    2.8324343066
  -0.3147247233    2.5918353564
  -0.4933190835    2.8978698075
  -0.4923938708    2.8961449658
  -0.2657595018    2.5305279986
  -0.2657418527    2.5305086719
  -0.2524981952    2.5207585566
   0.0000000000    1.8862073043
  -0.2524536912    2.5207039300
   0.0000000000    1.8862070778
  -0.3257556862    2.6204951047
  -0.3329791189    2.6170508871
  -0.3326708990    2.6165361628
  -0.2338276770    2.4926492033
  -0.2954419959    2.5674003489
  -0.2952627416    2.5671240251
  -0.2915856231    2.5607982249
  -0.4065623479    2.7459032878
  -0.3100268983    2.5851896835
  -0.3100576901    2.5852345333
  -0.3100150148    2.5851742364
  -0.3100814933    2.5852794077
   0.0000000000    1.8891347828
   0.0000000000    1.8891324664
  -0.3149695090    2.5913666829
  -0.2826080708    2.5596088151
  -0.2519943933    2.5147863965
   0.0000000000    1.8886239116
   0.0000000000    1.8892526459
  -0.2550515982    2.5185097003
   0.0000000000    1.8886480425
   0.0000000000    1.8892174464
  -0.2755568775    2.5506557249
   0.0000000000    1.8869469625
  -0.3217000125    2.6041545491
  -0.2544564560    2.5175559784
  -0.3805378090    2.6972043158
  -0.2755097033    2.5503289130
  -0.3944930631    2.7220160790
   0.0000000000    1.8927326068
   0.0000000000    1.8927318744
  -0.3312179371    2.6147773635
  -0.3389085181    2.6266229511
  -0.2945224926    2.5653399073
  -0.3239706297    2.6041944319
  -0.4290324160    2.7794223617
  -0.3035741609    2.5782642669
  -0.4339471623    2.7879127622
  -0.3246312185    2.6051689299
  -0.3331737629    2.6194569295
  -0.3330645665    2.6192928823
  -0.3373200404    2.6258120047
  -0.4988727525    2.9065393957
  -0.4902216359    2.8904986279
  -0.3589800224    2.6567416654
  -0.3616448269    2.6609053079
   0.0000000000    1.8880536699
   0.0000000000    1.8881770524
  -0.3525827916    2.6467730674
  -0.5197433033    2.9440083574
   0.0000000000    1.8916677992
   0.0000000000    1.8916100812
  -0.5117360214    2.9305820626
  -0.4920333358    2.8924711587
   0.0000000000    1.8915533650
   0.0000000000    1.8915094405
  -0.5058841174    2.9186928440
  -0.3331761373    2.6194617472
   0.0000000000    1.8882565214
   0.0000000000    1.8883346528
  -0.3330777053    2.6193192022
   0.0000000000    1.8883379663
   0.0000000000    1.8882627563
  -0.3331747197    2.6194648882
  -0.3330399621    2.6192617420
  -0.5110287976    2.9289575193
  -0.5110111113    2.9289282649
   0.0000000000    1.8916723033
   0.0000000000    1.8916712636
