# q1 [Angstrom]    q2 [Angstrom]
  -0.2285291397    2.5282544907
  -0.2444935274    2.5386482782
  -0.2048839019    2.5036513260
   0.0000000000    1.9282276101
  -0.3902277347    2.7073745839
  -0.3867700507    2.7420983268
  -0.0602788423    2.4032441546
  -0.1331698372    2.4341954642
  -0.1666295068    2.4537582368
  -0.3098363833    2.6209830708
  -0.1668364810    2.4538702311
  -0.1328573651    2.4339954100
  -0.3102854362    2.6217382285
   0.0000000000    1.9238601020
  -0.0850697991    2.4070811350
  -0.2137406028    2.4949996493
  -0.2137879353    2.4950471089
   0.0000000000    1.9207715509
   0.0000000000    1.9214196313
  -0.1532822420    2.4437735760
  -0.1534947554    2.4439244675
   0.0000000000    1.9231929883
   0.0000000000    1.9226573248
  -0.1670591371    2.4571651900
   0.0000000000    1.9227423151
   0.0000000000    1.9230011782
  -0.1670158263    2.4571371161
   0.0000000000    1.9230035597
   0.0000000000    1.9227449823
  -0.1519803929    2.4461726001
   0.0000000000    1.9210805875
   0.0000000000    1.9220416338
  -0.3378628127    2.6581215038
  -0.2827896976    2.5821628718
  -0.2090708628    2.4918208952
  -0.3470991657    2.6776108275
  -0.2044147096    2.4854111887
  -0.4961364902    2.9326243131
   0.0000000000    1.9256036018
   0.0000000000    1.9250251415
  -0.3878152643    2.7428012423
  -0.4151545489    2.7884696688
  -0.1905274354    2.4755791155
  -0.1903948546    2.4754787773
  -0.2256108512    2.5120000082
   0.0000000000    1.9202257482
  -0.2254435785    2.5118227248
   0.0000000000    1.9202191910
  -0.2857102889    2.5857823707
  -0.2504500168    2.5333651719
  -0.2503334629    2.5331915723
  -0.1512473691    2.4427438204
  -0.2025672442    2.4854506464
  -0.2199317886    2.5036464117
  -0.2000859743    2.4813312884
   0.0000000000    1.9205097528
   0.0000000000    1.9210414729
  -0.4657036837    2.8713752851
   0.0000000000    1.9237330713
  -0.2398743363    2.5229005016
  -0.2391574429    2.5220432577
  -0.1832713068    2.4667931378
  -0.3638857986    2.6989025692
  -0.2275127456    2.5076673412
  -0.2267340375    2.5068605915
  -0.2277125081    2.5079069813
  -0.2266535428    2.5067974392
   0.0000000000    1.9200490369
   0.0000000000    1.9207411381
  -0.1877879148    2.4701179919
  -0.3434037982    2.6633080427
  -0.2279837707    2.5138160688
  -0.1881777710    2.4737245080
   0.0000000000    1.9197239621
   0.0000000000    1.9206673078
  -0.1875674507    2.4698427916
  -0.1884136636    2.4739048932
   0.0000000000    1.9197125440
   0.0000000000    1.9206502371
  -0.3433464102    2.6632312149
  -0.2277183106    2.5135101688
  -0.1774138379    2.4654695147
   0.0000000000    1.9203225630
   0.0000000000    1.9209586331
  -0.2452778459    2.5355787938
   0.0000000000    1.9214112614
  -0.2196372765    2.5033059659
  -0.1728357889    2.4613122269
  -0.2939985765    2.5969408913
  -0.2508254651    2.5412843043
  -0.1911927970    2.4764448540
   0.0000000000    1.9217773212
   0.0000000000    1.9215749725
  -0.2477107517    2.5319050825
  -0.2467109686    2.5314609993
  -0.5087913410    2.9531280994
   0.0000000000    1.9243959488
   0.0000000000    1.9237766912
  -0.1834578859    2.4678390147
  -0.2318091741    2.5121511523
  -0.3410821017    2.6657753340
  -0.1955078087    2.4790443518
  -0.3459708673    2.6728782037
  -0.2300438089    2.5101710170
  -0.4993585501    2.9355713328
   0.0000000000    1.9244576846
   0.0000000000    1.9238057402
  -0.2238805638    2.5067634799
  -0.2238301960    2.5066890638
  -0.2335682635    2.5167138996
  -0.3966716272    2.7554181897
  -0.4137361048    2.7828197520
  -0.2699760032    2.5585286647
  -0.2716816985    2.5607643748
   0.0000000000    1.9196886116
   0.0000000000    1.9206236009
  -0.2717122856    2.5608204265
  -0.2699149020    2.5584611665
  -0.2541741586    2.5385871794
  -0.3865419529    2.7393010219
   0.0000000000    1.9238701913
   0.0000000000    1.9245758995
  -0.4693731687    2.8825460264
  -0.4006196484    2.7613221288
   0.0000000000    1.9241574221
   0.0000000000    1.9246641709
  -0.4241230856    2.8021677917
  -0.4006218113    2.7613261321
   0.0000000000    1.9241572530
   0.0000000000    1.9246639874
  -0.4241254551    2.8021717841
  -0.2271889251    2.5059781254
  -0.4924849158    2.9190606598
  -0.3752678320    2.7207359279
   0.0000000000    1.9247007531
   0.0000000000    1.9240489068
  -0.3752626071    2.7207248144
  -0.4925238250    2.9191348543
  -0.2272080175    2.5059979161
  -0.4605836339    2.8645741150
  -0.1949725716    2.4771393026
  -0.4605367648    2.8644842193
  -0.1949591129    2.4771190458
