# distance [\AA]   occurrence (total=496)
0.600000                            0
0.651786                            0
0.703571                            0
0.755357                            0
0.807143                            0
0.858929                            0
0.910714                            0
0.962500                            0
1.014286                            0
1.066071                            0
1.117857                            0
1.169643                            0
1.221429                            0
1.273214                            0
1.325000                            0
1.376786                            0
1.428571                            0
1.480357                            0
1.532143                            4
1.583929                          129
1.635714                           25
1.687500                           17
1.739286                           37
1.791071                           15
1.842857                           10
1.894643                            4
1.946429                            6
1.998214                            2
2.050000                           27
2.101786                           26
2.153571                           35
2.205357                           26
2.257143                           15
2.308929                            6
2.360714                            7
2.412500                            7
2.464286                           11
2.516071                            8
2.567857                            1
2.619643                            3
2.671429                            1
2.723214                            8
2.775000                            4
2.826786                            3
2.878571                            3
2.930357                            2
2.982143                            5
3.033929                            0
3.085714                            0
3.137500                            7
3.189286                            0
3.241071                            3
3.292857                            0
3.344643                            8
3.396429                            2
3.448214                            5
3.500000                           24
