# distance [Angstrom]   occurrence (total=942)
0.600000                            0
0.651786                            0
0.703571                            0
0.755357                            0
0.807143                            0
0.858929                            0
0.910714                            0
0.962500                          345
1.014286                           31
1.066071                           48
1.117857                           17
1.169643                            2
1.221429                            3
1.273214                            1
1.325000                            7
1.376786                           17
1.428571                           12
1.480357                           15
1.532143                           14
1.583929                            4
1.635714                            6
1.687500                            5
1.739286                            1
1.791071                            2
1.842857                            2
1.894643                            5
1.946429                            2
1.998214                            1
2.050000                            0
2.101786                            0
2.153571                            3
2.205357                            2
2.257143                            1
2.308929                            3
2.360714                            2
2.412500                            0
2.464286                            0
2.516071                            0
2.567857                            3
2.619643                            1
2.671429                            1
2.723214                            0
2.775000                            0
2.826786                            0
2.878571                            7
2.930357                            8
2.982143                            4
3.033929                           38
3.085714                           44
3.137500                           60
3.189286                           79
3.241071                           36
3.292857                           19
3.344643                           19
3.396429                           35
3.448214                           17
3.500000                           20
