# Angle [degrees]   occurrence (total=133)
0.000000                            0
5.135135                            0
10.270270                            0
15.405405                            0
20.540541                            0
25.675676                            0
30.810811                            0
35.945946                            0
41.081081                            0
46.216216                            0
51.351351                            0
56.486486                            0
61.621622                            0
66.756757                            0
71.891892                            0
77.027027                            2
82.162162                           18
87.297297                           12
92.432432                           10
97.567568                           10
102.702703                           20
107.837838                            4
112.972973                            2
118.108108                            5
123.243243                            1
128.378378                            3
133.513514                            1
138.648649                            4
143.783784                            3
148.918919                            0
154.054054                            1
159.189189                            2
164.324324                            5
169.459459                            2
174.594595                            4
179.729730                           20
184.864865                            4
190.000000                            0
