# distance [\AA]   occurrence (total=428)
0.600000                            0
0.651786                            0
0.703571                            0
0.755357                            0
0.807143                            0
0.858929                            0
0.910714                            0
0.962500                            0
1.014286                            0
1.066071                            0
1.117857                            0
1.169643                            0
1.221429                            0
1.273214                            0
1.325000                            0
1.376786                            0
1.428571                            0
1.480357                            0
1.532143                            0
1.583929                          101
1.635714                           34
1.687500                           10
1.739286                           21
1.791071                           18
1.842857                           13
1.894643                           13
1.946429                            5
1.998214                           14
2.050000                           29
2.101786                           22
2.153571                           31
2.205357                            6
2.257143                            4
2.308929                           12
2.360714                            5
2.412500                           13
2.464286                           10
2.516071                            5
2.567857                            1
2.619643                            4
2.671429                            5
2.723214                            4
2.775000                            2
2.826786                            0
2.878571                            0
2.930357                            1
2.982143                            1
3.033929                            0
3.085714                            0
3.137500                            2
3.189286                            2
3.241071                            0
3.292857                            0
3.344643                            4
3.396429                            8
3.448214                            6
3.500000                           22
