# q1 [Angstrom]    q2 [Angstrom]
   0.1841800115    2.5099506037
   0.1111180077    2.4515695587
   0.1421006932    2.4781328804
  -0.0435541071    2.4251723297
   0.0433184710    2.4251663283
  -0.0028602341    2.4254152017
   0.4351693105    2.8522862472
  -0.1166176528    2.4514353248
  -0.1101726937    2.4482863050
  -0.0802612587    2.4378458227
  -0.3080828474    2.6440194089
  -0.0894874390    2.4392458126
   0.0795264357    2.4377373762
  -0.0920258320    2.4400604243
  -0.3066924880    2.6423346757
  -0.0133169987    2.4210030638
  -0.1739266109    2.4892021067
  -0.1710810901    2.4868655680
  -0.1724046710    2.4879446685
  -0.1740620649    2.4895765811
  -0.0045468421    2.4194977906
  -0.0849160462    2.4407670954
  -0.0814360209    2.4393099811
  -0.0980627169    2.4443717228
  -0.2780666417    2.6023259876
   0.2773543878    2.6021423891
   0.1333332290    2.4646328620
   0.1384521967    2.4644252221
  -0.3025304821    2.6438384843
  -0.5341754393    3.0313271633
   0.2884797276    2.6243452100
   0.4807411727    2.9344488902
   0.1452354518    2.4695578224
   0.1452354518    2.4695578224
  -0.2176813095    2.5290825180
  -0.2176813095    2.5290825180
   0.1044769162    2.4444915493
   0.2777588433    2.6010497663
   0.2116495042    2.5217056068
  -0.2115083765    2.5212723508
  -0.1897382481    2.5008662008
  -0.1887935935    2.5004945942
  -0.1894628727    2.5008554600
  -0.1886979321    2.5000724081
   0.2932654367    2.6185421825
  -0.1225941562    2.4543767060
   0.2039159901    2.5147045280
  -0.1492385078    2.4722238424
  -0.1681945327    2.4843887122
  -0.1919076777    2.5047407130
  -0.4600652570    2.8881209537
  -0.1368446249    2.4630833412
  -0.2084523254    2.5176264528
  -0.2089017146    2.5179636730
  -0.3763205739    2.7452307487
  -0.1162485952    2.4515134630
  -0.1262656549    2.4588308750
  -0.2401171662    2.5562143974
   0.1572977729    2.4801906260
  -0.5412910532    3.0405096375
   0.3000951420    2.6369967141
   0.1865351162    2.4987008562
  -0.1148619113    2.4515835695
   0.1861852343    2.4982921471
  -0.1168668550    2.4534546523
  -0.3085489475    2.6481194382
  -0.5156830568    2.9922038441
   0.1669236619    2.4868760401
   0.1443717122    2.4712919612
   0.6435229588    3.2461583065
   0.3242325374    2.6723320657
   0.4498311388    2.8742622939
  -0.1721461038    2.4906175719
  -0.3707580985    2.7434052392
   0.4057075248    2.8001157959
   0.1863784870    2.4986342090
  -0.2963472122    2.6310713388
  -0.1166266239    2.4549865585
   0.5528994463    3.0607589040
  -0.4034022007    2.7960194472
  -0.4102498991    2.8022891251
   0.1006535073    2.4421479314
   0.7298496469    3.4179168426
  -0.3732716006    2.7471561260
   0.4031359673    2.7962226512
  -0.1004237487    2.4422105229
   0.7317983231    3.4216735789
  -0.4105999043    2.8027185678
  -0.4036287845    2.7963728133
  -0.4251999548    2.8339726606
   0.0955667541    2.4435442841
  -0.4735376188    2.9184810388
   0.1376311529    2.4647770910
