# q1 [Angstrom]    q2 [Angstrom]
  -0.1518868065    2.4457501866
   0.1247715443    2.4232311071
   0.3050077103    2.6215260798
  -0.2175119543    2.5022997779
  -0.2175104798    2.5022973031
  -0.4120036226    2.7944336476
  -0.4126540005    2.7955961423
   0.2195002983    2.5031471719
  -0.1821232582    2.4680321272
  -0.1821305712    2.4680383792
  -0.2492919759    2.5355144948
  -0.2493251530    2.5355508064
   0.1827918901    2.4648009770
   0.2151355758    2.5074758123
  -0.1785684421    2.4674676144
  -0.1785385289    2.4674413125
  -0.4594653430    2.8708599259
   0.4594663386    2.8708583276
   0.4189277285    2.8016468503
   0.4189327938    2.8016546425
  -0.2281887889    2.5114362276
  -0.4173532189    2.8016985836
  -0.4151060118    2.7976970004
   0.2335741904    2.5168793607
  -0.2335786324    2.5168844524
   0.2253893337    2.5080624841
  -0.4161353273    2.7991384783
  -0.4163270959    2.7994785480
   0.6038198013    3.1482322168
   0.3407237137    2.6718626760
   0.2505609077    2.5341713615
   0.2808346244    2.5724645419
   0.0300087811    2.3914608452
  -0.2076964668    2.4875808541
  -0.1689387783    2.4626354130
  -0.2125724786    2.4947061010
  -0.3945859538    2.7578612132
   0.1544001276    2.4485132358
  -0.3425800127    2.6652114343
   0.3947186502    2.7580821112
  -0.1546135016    2.4486707862
  -0.4209888655    2.7994445888
  -0.4267387548    2.8107314300
   0.4248133339    2.8099887423
   0.4247515678    2.8098788725
   0.4247612596    2.8098949807
   0.4248058432    2.8099750067
  -0.2678673544    2.5571292299
  -0.4213641958    2.8037997342
  -0.4249185956    2.8101634176
   0.2865836090    2.5782291272
  -0.5223452870    2.9873260319
   0.3796712172    2.7316694654
   0.2726341932    2.5618507083
  -0.2719969044    2.5619813494
   0.3128747164    2.6217766516
  -0.3553269653    2.6958739267
  -0.3565528061    2.6979226764
   0.2641928591    2.5496520227
  -0.2438101140    2.5279019642
  -0.5587298590    3.0590796268
  -0.3628562002    2.7057252788
   0.3460543868    2.6802460464
   0.6207331882    3.1769514886
  -0.2542290849    2.5382419515
  -0.5379700293    3.0208614061
   0.4192041451    2.7984816488
   0.3200008050    2.6399118857
   0.5726924222    3.0970695649
  -0.2436436656    2.5270983199
  -0.2393926974    2.5241191873
  -0.3062038606    2.6124924714
   0.3498730058    2.6896082854
   0.3502001724    2.6901409604
   0.2342309137    2.5169591386
   0.2336983064    2.5164257637
   0.3056382451    2.6117519302
  -0.3494073858    2.6889829919
   0.3493061560    2.6888034087
  -0.4432941335    2.8364702108
   0.2261069620    2.5067899043
  -0.4432785542    2.8364429683
   0.2261358550    2.5068183565
   0.2691216448    2.5551149934
   0.3175988953    2.6283349858
   0.4878677459    2.9289213204
   0.2869267459    2.5953134410
  -0.2773741880    2.5661394892
  -0.2779403392    2.5668859840
  -0.2153261263    2.5028140119
