# angle [Degrees]   occurrence (total=1663)
0.000000                            0
5.135135                            3
10.270270                           57
15.405405                          156
20.540541                           56
25.675676                           22
30.810811                           91
35.945946                            4
41.081081                            9
46.216216                           12
51.351351                           24
56.486486                            8
61.621622                           16
66.756757                            6
71.891892                            8
77.027027                            6
82.162162                           10
87.297297                           14
92.432432                            6
97.567568                           15
102.702703                           28
107.837838                          233
112.972973                          225
118.108108                          235
123.243243                          218
128.378378                           98
133.513514                           25
138.648649                           12
143.783784                            4
148.918919                            9
154.054054                            9
159.189189                            9
164.324324                            9
169.459459                           12
174.594595                            8
179.729730                            6
184.864865                            0
190.000000                            0
