# angle [Degrees]   occurrence (total=365)
0.000000                            0
5.070423                            2
10.140845                            6
15.211268                            1
20.281690                            1
25.352113                            7
30.422535                            1
35.492958                            4
40.563380                            2
45.633803                            2
50.704225                            0
55.774648                            3
60.845070                            5
65.915493                           15
70.985915                           10
76.056338                           16
81.126761                           13
86.197183                           12
91.267606                           16
96.338028                            9
101.408451                           10
106.478873                            9
111.549296                           18
116.619718                           17
121.690141                            9
126.760563                           12
131.830986                           11
136.901408                           11
141.971831                           15
147.042254                           11
152.112676                           25
157.183099                           18
162.253521                           20
167.323944                           15
172.394366                           16
177.464789                           15
182.535211                            8
187.605634                            0
192.676056                            0
197.746479                            0
202.816901                            0
207.887324                            0
212.957746                            0
218.028169                            0
223.098592                            0
228.169014                            0
233.239437                            0
238.309859                            0
243.380282                            0
248.450704                            0
253.521127                            0
258.591549                            0
263.661972                            0
268.732394                            0
273.802817                            0
278.873239                            0
283.943662                            0
289.014085                            0
294.084507                            0
299.154930                            0
304.225352                            0
309.295775                            0
314.366197                            0
319.436620                            0
324.507042                            0
329.577465                            0
334.647887                            0
339.718310                            0
344.788732                            0
349.859155                            0
354.929577                            0
360.000000                            0
