# distance [Angstrom]   occurrence (total=6)
1.500000                            0
1.505000                            0
1.510000                            0
1.515000                            0
1.520000                            0
1.525000                            0
1.530000                            0
1.535000                            0
1.540000                            0
1.545000                            0
1.550000                            0
1.555000                            0
1.560000                            0
1.565000                            0
1.570000                            0
1.575000                            0
1.580000                            0
1.585000                            0
1.590000                            0
1.595000                            0
1.600000                            0
1.605000                            0
1.610000                            0
1.615000                            0
1.620000                            0
1.625000                            0
1.630000                            0
1.635000                            0
1.640000                            0
1.645000                            0
1.650000                            0
1.655000                            0
1.660000                            0
1.665000                            0
1.670000                            0
1.675000                            0
1.680000                            0
1.685000                            0
1.690000                            0
1.695000                            0
1.700000                            0
1.705000                            0
1.710000                            0
1.715000                            0
1.720000                            0
1.725000                            0
1.730000                            0
1.735000                            0
1.740000                            0
1.745000                            0
1.750000                            0
1.755000                            0
1.760000                            0
1.765000                            0
1.770000                            0
1.775000                            0
1.780000                            0
1.785000                            0
1.790000                            0
1.795000                            0
1.800000                            0
1.805000                            0
1.810000                            0
1.815000                            0
1.820000                            0
1.825000                            0
1.830000                            0
1.835000                            0
1.840000                            0
1.845000                            0
1.850000                            0
1.855000                            0
1.860000                            0
1.865000                            0
1.870000                            0
1.875000                            0
1.880000                            0
1.885000                            0
1.890000                            0
1.895000                            0
1.900000                            0
1.905000                            0
1.910000                            0
1.915000                            0
1.920000                            0
1.925000                            0
1.930000                            0
1.935000                            0
1.940000                            1
1.945000                            0
1.950000                            0
1.955000                            1
1.960000                            0
1.965000                            0
1.970000                            0
1.975000                            0
1.980000                            0
1.985000                            0
1.990000                            0
1.995000                            0
2.000000                            0
2.005000                            0
2.010000                            0
2.015000                            0
2.020000                            0
2.025000                            1
2.030000                            0
2.035000                            0
2.040000                            0
2.045000                            0
2.050000                            1
2.055000                            0
2.060000                            1
2.065000                            0
2.070000                            0
2.075000                            0
2.080000                            0
2.085000                            0
2.090000                            0
2.095000                            0
2.100000                            0
2.105000                            0
2.110000                            0
2.115000                            0
2.120000                            0
2.125000                            0
2.130000                            0
2.135000                            0
2.140000                            0
2.145000                            0
2.150000                            0
2.155000                            0
2.160000                            0
2.165000                            0
2.170000                            0
2.175000                            0
2.180000                            0
2.185000                            0
2.190000                            0
2.195000                            0
2.200000                            0
2.205000                            0
2.210000                            0
2.215000                            0
2.220000                            0
2.225000                            0
2.230000                            0
2.235000                            0
2.240000                            0
2.245000                            0
2.250000                            0
2.255000                            0
2.260000                            0
2.265000                            0
2.270000                            0
2.275000                            0
2.280000                            0
2.285000                            0
2.290000                            0
2.295000                            0
2.300000                            0
2.305000                            0
2.310000                            0
2.315000                            0
2.320000                            0
2.325000                            0
2.330000                            1
2.335000                            0
2.340000                            0
2.345000                            0
2.350000                            0
2.355000                            0
2.360000                            0
2.365000                            0
2.370000                            0
2.375000                            0
2.380000                            0
2.385000                            0
2.390000                            0
2.395000                            0
2.400000                            0
2.405000                            0
2.410000                            0
2.415000                            0
2.420000                            0
2.425000                            0
2.430000                            0
2.435000                            0
2.440000                            0
2.445000                            0
2.450000                            0
2.455000                            0
2.460000                            0
2.465000                            0
2.470000                            0
2.475000                            0
2.480000                            0
2.485000                            0
2.490000                            0
2.495000                            0
2.500000                            0
2.505000                            0
2.510000                            0
2.515000                            0
2.520000                            0
2.525000                            0
2.530000                            0
2.535000                            0
2.540000                            0
2.545000                            0
2.550000                            0
2.555000                            0
2.560000                            0
2.565000                            0
2.570000                            0
2.575000                            0
2.580000                            0
2.585000                            0
2.590000                            0
2.595000                            0
2.600000                            0
2.605000                            0
2.610000                            0
2.615000                            0
2.620000                            0
2.625000                            0
2.630000                            0
2.635000                            0
2.640000                            0
2.645000                            0
2.650000                            0
2.655000                            0
2.660000                            0
2.665000                            0
2.670000                            0
2.675000                            0
2.680000                            0
2.685000                            0
2.690000                            0
2.695000                            0
2.700000                            0
2.705000                            0
2.710000                            0
2.715000                            0
2.720000                            0
2.725000                            0
2.730000                            0
2.735000                            0
2.740000                            0
2.745000                            0
2.750000                            0
2.755000                            0
2.760000                            0
2.765000                            0
2.770000                            0
2.775000                            0
2.780000                            0
2.785000                            0
2.790000                            0
2.795000                            0
2.800000                            0
2.805000                            0
2.810000                            0
2.815000                            0
2.820000                            0
2.825000                            0
2.830000                            0
2.835000                            0
2.840000                            0
2.845000                            0
2.850000                            0
2.855000                            0
2.860000                            0
2.865000                            0
2.870000                            0
2.875000                            0
2.880000                            0
2.885000                            0
2.890000                            0
2.895000                            0
2.900000                            0
2.905000                            0
2.910000                            0
2.915000                            0
2.920000                            0
2.925000                            0
2.930000                            0
2.935000                            0
2.940000                            0
2.945000                            0
2.950000                            0
2.955000                            0
2.960000                            0
2.965000                            0
2.970000                            0
2.975000                            0
2.980000                            0
2.985000                            0
2.990000                            0
2.995000                            0
