# distance [\AA]   occurrence (total=741)
0.600000                            0
0.651786                            0
0.703571                            0
0.755357                            0
0.807143                            0
0.858929                            0
0.910714                            0
0.962500                          281
1.014286                           32
1.066071                           38
1.117857                            7
1.169643                            3
1.221429                            2
1.273214                            3
1.325000                            0
1.376786                           10
1.428571                           12
1.480357                           17
1.532143                            9
1.583929                            2
1.635714                            2
1.687500                            9
1.739286                            1
1.791071                            3
1.842857                            3
1.894643                            2
1.946429                            3
1.998214                            2
2.050000                            1
2.101786                            4
2.153571                            0
2.205357                            0
2.257143                            0
2.308929                            0
2.360714                            0
2.412500                            0
2.464286                            0
2.516071                            0
2.567857                            1
2.619643                            2
2.671429                            0
2.723214                            1
2.775000                            3
2.826786                            1
2.878571                            1
2.930357                           13
2.982143                            4
3.033929                           16
3.085714                           36
3.137500                           41
3.189286                           57
3.241071                           37
3.292857                           17
3.344643                           17
3.396429                           23
3.448214                           15
3.500000                           10
