# q1 [Angstrom]    q2 [Angstrom]
  -0.2406674246    2.5475007740
  -0.1998193682    2.4995207899
  -0.2115519507    2.5142296529
   0.0000000000    1.9387603716
  -0.1529887560    2.4482827119
  -0.1505667497    2.4466325229
   0.0000000000    1.9307607864
   0.0000000000    1.9307596399
  -0.3905082553    2.7195883198
  -0.4196145628    2.8026568584
  -0.0194848789    2.4001457187
  -0.0469448420    2.4042153838
   0.0000000000    1.9334308027
  -0.0472624239    2.4042925787
  -0.1211641195    2.4307155178
  -0.1489981495    2.4454639156
  -0.3151271582    2.6326199367
  -0.1494760368    2.4458330606
  -0.1206404697    2.4304295034
  -0.3157509533    2.6336445045
   0.0000000000    1.9345155928
  -0.0296410475    2.3979877392
  -0.2042922697    2.4903621643
  -0.2043141564    2.4903862598
   0.0000000000    1.9281997020
   0.0000000000    1.9289510664
  -0.1378970208    2.4379420190
  -0.1171384145    2.4262194267
   0.0000000000    1.9318821726
   0.0000000000    1.9312668523
  -0.1416407441    2.4439248533
   0.0000000000    1.9308995035
   0.0000000000    1.9311857529
  -0.1416897060    2.4439583538
   0.0000000000    1.9311837702
   0.0000000000    1.9308980629
  -0.1373088927    2.4399142919
   0.0000000000    1.9287116745
   0.0000000000    1.9297275335
  -0.3205571846    2.6396477299
  -0.2898492153    2.5957567077
  -0.1878523596    2.4770811942
  -0.3188938561    2.6408101195
  -0.1860267852    2.4734013929
  -0.3364680824    2.6673805140
  -0.4736710572    2.8977684174
  -0.2332152035    2.5184965269
  -0.2330585677    2.5182708685
  -0.1683306479    2.4591370649
  -0.3714846963    2.7153794757
  -0.2163824977    2.5008286670
  -0.2152964195    2.4997698936
  -0.2163787487    2.5008267448
  -0.2152893611    2.4997669174
   0.0000000000    1.9275385128
   0.0000000000    1.9283404918
  -0.1734755632    2.4625496355
  -0.3293394727    2.6486855115
  -0.2284829346    2.5181015491
  -0.1793134888    2.4694405660
   0.0000000000    1.9270264549
   0.0000000000    1.9280103412
  -0.1735929214    2.4626066854
  -0.1791466280    2.4692843321
   0.0000000000    1.9270357717
   0.0000000000    1.9280183147
  -0.3292406257    2.6485226864
  -0.2285981777    2.5181990575
  -0.1652502039    2.4591823808
   0.0000000000    1.9278154347
   0.0000000000    1.9284848208
  -0.2510952525    2.5464207073
   0.0000000000    1.9318458480
  -0.2048695791    2.4933378297
  -0.1645534592    2.4574442179
  -0.2197714612    2.5039728518
  -0.3185297335    2.6374230788
  -0.1779353636    2.4683046398
  -0.3245861543    2.6459065575
  -0.2166570496    2.5006713390
  -0.2104593387    2.4978547689
  -0.1994416635    2.4875069985
  -0.2074437886    2.4945251173
  -0.2985082776    2.6100706103
  -0.2553932543    2.5466082214
  -0.2520691722    2.5422068548
   0.0000000000    1.9270299394
   0.0000000000    1.9279514377
  -0.2519746101    2.5421285811
  -0.2554395707    2.5467039055
  -0.2361078031    2.5227754768
  -0.3601933511    2.7027038653
   0.0000000000    1.9318258532
   0.0000000000    1.9325053432
  -0.5059732639    2.9554283829
  -0.3968014091    2.7606239282
   0.0000000000    1.9322144845
   0.0000000000    1.9327009164
  -0.4250981354    2.8095187683
  -0.3967925508    2.7606086593
   0.0000000000    1.9322152834
   0.0000000000    1.9327016257
  -0.4251026573    2.8095275792
  -0.1975753341    2.4813795074
  -0.4840665780    2.9094646988
  -0.3838778419    2.7400679190
   0.0000000000    1.9326021866
   0.0000000000    1.9319801847
  -0.3838658413    2.7400472369
  -0.4841299853    2.9095851827
  -0.1975890228    2.4813948973
  -0.4648490946    2.8783621290
  -0.1752174166    2.4650964034
  -0.4649716011    2.8785849272
  -0.1753316487    2.4651838464
