# Angle [degrees]   occurrence (total=154)
0.000000                            0
5.135135                            0
10.270270                            0
15.405405                            0
20.540541                            0
25.675676                            0
30.810811                            0
35.945946                            0
41.081081                            0
46.216216                            0
51.351351                            0
56.486486                            0
61.621622                            0
66.756757                            0
71.891892                            0
77.027027                            0
82.162162                           14
87.297297                           18
92.432432                           20
97.567568                            9
102.702703                           13
107.837838                           15
112.972973                            4
118.108108                            4
123.243243                            5
128.378378                            2
133.513514                            4
138.648649                            7
143.783784                            0
148.918919                            2
154.054054                            1
159.189189                            2
164.324324                            1
169.459459                            2
174.594595                           11
179.729730                            5
184.864865                           15
190.000000                            0
