# distance [\AA]   occurrence (total=906)
0.600000                            0
0.651786                            0
0.703571                            0
0.755357                            0
0.807143                            0
0.858929                            0
0.910714                            0
0.962500                          334
1.014286                           39
1.066071                           47
1.117857                           10
1.169643                            2
1.221429                            4
1.273214                            2
1.325000                            0
1.376786                           10
1.428571                           20
1.480357                           22
1.532143                            9
1.583929                            7
1.635714                            2
1.687500                            7
1.739286                            1
1.791071                            5
1.842857                            5
1.894643                            1
1.946429                            3
1.998214                            5
2.050000                            1
2.101786                            0
2.153571                            1
2.205357                            0
2.257143                            0
2.308929                            0
2.360714                            0
2.412500                            0
2.464286                            0
2.516071                            0
2.567857                            0
2.619643                            0
2.671429                            1
2.723214                            0
2.775000                            0
2.826786                            1
2.878571                            9
2.930357                            8
2.982143                            9
3.033929                           18
3.085714                           45
3.137500                           46
3.189286                           80
3.241071                           45
3.292857                           28
3.344643                           14
3.396429                           23
3.448214                           31
3.500000                           11
