# q1 [Angstrom]    q2 [Angstrom]
  -0.2368917165    2.5146076902
   0.0000000000    1.8928786133
  -0.2373155669    2.5151434640
   0.0000000000    1.8927770195
  -0.2877361311    2.5572606232
  -0.2871467315    2.5564539077
   0.0000000000    1.8904647445
   0.0000000000    1.8904679579
  -0.3696018497    2.6298645697
  -0.3829120839    2.7125780931
  -0.2069755998    2.4682760954
  -0.2392501932    2.5007263639
   0.0000000000    1.8917741402
   0.0000000000    1.8917420422
  -0.2392898336    2.5007248274
  -0.2266471184    2.4873890722
  -0.2868237448    2.5552057958
  -0.3381973675    2.6403206614
  -0.2870680228    2.5555245115
  -0.2266355101    2.4873477947
  -0.3385881562    2.6409873157
   0.0000000000    1.8892715559
  -0.2565267349    2.5192827884
  -0.3021522731    2.5753986620
  -0.3021673631    2.5754211799
   0.0000000000    1.8896636415
   0.0000000000    1.8896964081
  -0.2927022099    2.5636091722
  -0.2926251430    2.5634401244
   0.0000000000    1.8897175945
   0.0000000000    1.8897165946
  -0.4676906606    2.8517441412
  -0.4828407699    2.8792916203
   0.0000000000    1.8936168274
   0.0000000000    1.8936149949
  -0.2963221046    2.5684771135
   0.0000000000    1.8899957912
   0.0000000000    1.8899941325
  -0.2425818768    2.5044225817
   0.0000000000    1.8890017093
   0.0000000000    1.8896851623
  -0.3013166357    2.5860472129
  -0.3326763222    2.6193512745
  -0.4981952618    2.9062840727
  -0.3226990220    2.6033503633
  -0.5052382882    2.9207305260
   0.0000000000    1.8928978637
   0.0000000000    1.8928961657
  -0.4943708125    2.8998646916
  -0.4947091846    2.9005072787
