# distance [\AA]   occurrence (total=422)
0.600000                            0
0.651786                            0
0.703571                            0
0.755357                            0
0.807143                            0
0.858929                            0
0.910714                            0
0.962500                            0
1.014286                            0
1.066071                            0
1.117857                            0
1.169643                            0
1.221429                            0
1.273214                            0
1.325000                            0
1.376786                            0
1.428571                            0
1.480357                            0
1.532143                            2
1.583929                          124
1.635714                           17
1.687500                           27
1.739286                           23
1.791071                            9
1.842857                           10
1.894643                            4
1.946429                            4
1.998214                            0
2.050000                            9
2.101786                           28
2.153571                           34
2.205357                           28
2.257143                           14
2.308929                            4
2.360714                            8
2.412500                           13
2.464286                           10
2.516071                            3
2.567857                            4
2.619643                            5
2.671429                            4
2.723214                            2
2.775000                            0
2.826786                            2
2.878571                            0
2.930357                            1
2.982143                            1
3.033929                            0
3.085714                            0
3.137500                            0
3.189286                            0
3.241071                            0
3.292857                            1
3.344643                            2
3.396429                            7
3.448214                            7
3.500000                           15
