# distance [\AA]   occurrence (total=788)
0.600000                            0
0.651786                            0
0.703571                            0
0.755357                            0
0.807143                            0
0.858929                            0
0.910714                            0
0.962500                          259
1.014286                           69
1.066071                           20
1.117857                            1
1.169643                            1
1.221429                            0
1.273214                            1
1.325000                            0
1.376786                            2
1.428571                            8
1.480357                            7
1.532143                           15
1.583929                            8
1.635714                            6
1.687500                            2
1.739286                           10
1.791071                            3
1.842857                           11
1.894643                            8
1.946429                            2
1.998214                            1
2.050000                            1
2.101786                            1
2.153571                            2
2.205357                            0
2.257143                            2
2.308929                            0
2.360714                            0
2.412500                            0
2.464286                            0
2.516071                            0
2.567857                            0
2.619643                            0
2.671429                            0
2.723214                            0
2.775000                            2
2.826786                            8
2.878571                           10
2.930357                            9
2.982143                           10
3.033929                           14
3.085714                           33
3.137500                           22
3.189286                           23
3.241071                           48
3.292857                           22
3.344643                           42
3.396429                           28
3.448214                           42
3.500000                           35
