# q1 [Angstrom]    q2 [Angstrom]
   0.0000000000    2.1209789414
   0.0000000000    1.7290029562
   0.0000000000    1.5562389286
   0.0000000000    3.9147452727
   0.0000000000    3.4503591128
   0.0000000000    2.7675446040
   0.0000000000    1.9815532935
   0.0000000000    3.0557434008
   0.0000000000    2.4010578521
   0.0000000000    2.3679981592
   0.0000000000    2.5479755406
   0.0000000000    2.5076686007
   0.0000000000    3.6456796092
   0.0000000000    2.4881179556
   0.0000000000    3.6522318639
   0.0000000000    2.7656366265
   0.0000000000    3.6291087857
   0.0000000000    3.4799045935
   0.0000000000    3.9197222870
   0.0000000000    3.5150724197
   0.0000000000    3.8376533054
   0.0000000000    3.1077770328
   0.0000000000    3.1098205638
   0.0000000000    2.1709200420
   0.0000000000    1.7676076422
   0.0000000000    3.6238895843
   0.0000000000    3.8986634348
